"TABSCHEMA","TABNAME","INDNAME","UNIQUERULE","INDEXTYPE"
MAXIMO  ,APPTBOOK,APPTBOOK_NDX1,U,REG 
MAXIMO  ,APPTBOOK,SQL251206163604100,P,REG 
MAXIMO  ,APPTBOOKASSIGNMENTS,APPTBOOKASSIG_NDX1,U,REG 
MAXIMO  ,APPTBOOKASSIGNMENTS,SQL251206163604240,P,REG 
MAXIMO  ,APPTBOOKJOBPLAN,SQL251206163604370,P,REG 
MAXIMO  ,APPTRACKER,APPTRACKER_NDX1,U,REG 
MAXIMO  ,APPTRACKER,SQL251206163604500,P,REG 
MAXIMO  ,APPUSERPROPCFG,APPUSERPROPCF_NDX1,U,REG 
MAXIMO  ,APPUSERPROPCFG,SQL251206163604630,P,REG 
MAXIMO  ,ARCHIVE,ARCHIVE_NDX1,U,REG 
MAXIMO  ,ARCHIVE,SQL251206163604750,P,REG 
MAXIMO  ,AREASAFFECTED,AREASAFFECTED_NDX1,U,REG 
MAXIMO  ,AREASAFFECTED,SQL251206163604880,P,REG 
MAXIMO  ,ASSET,ASSET_INDX7,D,REG 
MAXIMO  ,ASSET,ASSET_MODELID_NDX,D,REG 
MAXIMO  ,ASSET,ASSET_NDX1,U,REG 
MAXIMO  ,ASSET,ASSET_NDX10,D,REG 
MAXIMO  ,ASSET,ASSET_NDX13,D,REG 
MAXIMO  ,ASSET,ASSET_NDX14,U,REG 
MAXIMO  ,ASSET,ASSET_NDX15,U,REG 
MAXIMO  ,ASSET,ASSET_NDX16,D,REG 
MAXIMO  ,ASSET,ASSET_NDX17,D,REG 
MAXIMO  ,ASSET,ASSET_NDX19,D,REG 
MAXIMO  ,ASSET,ASSET_NDX2,D,REG 
MAXIMO  ,ASSET,ASSET_NDX20,D,REG 
MAXIMO  ,ASSET,ASSET_NDX21,D,REG 
MAXIMO  ,ASSET,ASSET_NDX22,D,REG 
MAXIMO  ,ASSET,ASSET_NDX23,D,REG 
MAXIMO  ,ASSET,ASSET_NDX3,D,REG 
MAXIMO  ,ASSET,ASSET_NDX4,D,REG 
MAXIMO  ,ASSET,ASSET_NDX5,D,REG 
MAXIMO  ,ASSET,ASSET_NDX6,D,REG 
MAXIMO  ,ASSET,ASSET_NDX7,D,REG 
MAXIMO  ,ASSET,ASSET_NDX9,D,REG 
MAXIMO  ,ASSET,ASSET_SAGEOHASH_QUERY,D,REG 
MAXIMO  ,ASSET,SQL251206163605190,P,REG 
MAXIMO  ,ASSETANCESTOR,ASSETANCESTOR_NDX1,U,REG 
MAXIMO  ,ASSETANCESTOR,ASSETANCESTOR_NDX2,D,REG 
MAXIMO  ,ASSETANCESTOR,ASSETANCESTOR_NDX3,D,REG 
MAXIMO  ,ASSETANCESTOR,SQL251206163605330,P,REG 
MAXIMO  ,ASSETATTRIBUTE,ASSETATTR_NDX1,U,REG 
MAXIMO  ,ASSETATTRIBUTE,SQL251206163605460,P,REG 
MAXIMO  ,ASSETFEASPECHIST,ASSETFEASPECH_NDX1,U,REG 
MAXIMO  ,ASSETFEASPECHIST,SQL251206163605590,P,REG 
MAXIMO  ,ASSETFEATURE,ASSETFEATURE_NDX1,U,REG 
MAXIMO  ,ASSETFEATURE,SQL251206163605740,P,REG 
MAXIMO  ,ASSETFEATUREHIST,ASSETFEATHISTNDX1,D,REG 
MAXIMO  ,ASSETFEATUREHIST,SQL251206163605890,P,REG 
MAXIMO  ,ASSETFEATURESPEC,ASSETFEATURES_NDX1,U,REG 
MAXIMO  ,ASSETFEATURESPEC,SQL251206163606040,P,REG 
MAXIMO  ,ASSETGEOHASH,ASSETGEOHASH_INDX,D,REG 
MAXIMO  ,ASSETGEOHASH,ASSETGEOHASH_QUERY,D,REG 
MAXIMO  ,ASSETGEOHASH,SQL251206163606170,P,REG 
MAXIMO  ,ASSETHIERARCHY,EQHIER_NDX,U,REG 
MAXIMO  ,ASSETHIERARCHY,SQL251206163606300,P,REG 
MAXIMO  ,ASSETHISTORY,ASSETHIST_NDX1,D,REG 
