"USERID","PERSONID","STATUS","DEFSITE","TYPE","GROUPNAME"
TARIKAMARO,TARIKAMARO,INACTIVE,N06,TYPE 2,OOG_REQUISITANTET
TARSIANESANTOS,TARSIANESANTOS,INACTIVE,BASE-UNP,TYPE 1,MAXEVERYONE
TARSIANESANTOS,TARSIANESANTOS,INACTIVE,BASE-UNP,TYPE 1,OOG_ALL_DRILLING
TARSIANESANTOS,TARSIANESANTOS,INACTIVE,BASE-UNP,TYPE 1,OOG_BASE_READ_ONLY
TATIANAFREIS,TATIANAFREIS,INACTIVE,OP-BASE,TYPE 5,MAXEVERYONE
TATIANAREIS,TATIANAREIS,INACTIVE,OP-BASE,TYPE 1,MAXEVERYONE
TATIANAREIS,TATIANAREIS,INACTIVE,OP-BASE,TYPE 1,OOG_ALL_DRILLING
TATIANAREIS,TATIANAREIS,INACTIVE,OP-BASE,TYPE 1,OOG_MOCPEO_EMISSOR
TATIANASOUZA,TATIANASOUZA,INACTIVE,BASE-UNP,TYPE 4,MAXEVERYONE
TATIANASOUZA,TATIANASOUZA,INACTIVE,BASE-UNP,TYPE 4,OOG_ALL_DRILLING
TATIANASOUZA,TATIANASOUZA,INACTIVE,BASE-UNP,TYPE 4,OOG_BASE_READ_ONLY
TATIANEOLIVEIRA,TATIANEOLIVEIRA,INACTIVE,OP-BASE,TYPE 1,MAXEVERYONE
TATIANEOLIVEIRA,TATIANEOLIVEIRA,INACTIVE,OP-BASE,TYPE 1,OOG_ALL_DRILLING
TATIANEOLIVEIRA,TATIANEOLIVEIRA,INACTIVE,OP-BASE,TYPE 1,OOG_BASE_READ_ONLY
TESTE,TESTE,DELETED,ODN1,TYPE 1,
TESTE123,TESTE123,DELETED,OP-BASE,TYPE 1,
TESTEIGOR,TESTEIGOR,INACTIVE,OP-BASE,TYPE 1,MAXEVERYONE
TESTEIGOR,TESTEIGOR,INACTIVE,OP-BASE,TYPE 1,OOG_COGNOS_LEITURA
TESTEMAINT,TESTEMAINT,INACTIVE,OP-BASE,TYPE 1,MAXEVERYONE
TESTEMAINT,TESTEMAINT,INACTIVE,OP-BASE,TYPE 1,OOG_ALL_DRILLING
TESTEMAINT,TESTEMAINT,INACTIVE,OP-BASE,TYPE 1,OOG_BASE_READ_ONLY
TESTE_ADD,TESTE_ADD,INACTIVE,N09,TYPE 1,MAXEVERYONE
TESTE_ADD,TESTE_ADD,INACTIVE,N09,TYPE 1,OOG_ALL_DRILLING
TESTE_ADD,TESTE_ADD,INACTIVE,N09,TYPE 1,OOG_ASSET_ENGINEER
THAISSAMPAIO,THAISSAMPAIO,INACTIVE,ODN3,TYPE 1,MAXEVERYONE
THAISSAMPAIO,THAISSAMPAIO,INACTIVE,ODN3,TYPE 1,OOG_ALL_DRILLING
THAISSAMPAIO,THAISSAMPAIO,INACTIVE,ODN3,TYPE 1,OOG_ASSET_COORDINATOR
THAISSAMPAIO,THAISSAMPAIO,INACTIVE,ODN3,TYPE 1,OOG_ASSET_ENGINEER
THAISSAMPAIO,THAISSAMPAIO,INACTIVE,ODN3,TYPE 1,OOG_MOC_APPROVERS
THALESMORAN,THALESMORAN,INACTIVE,N09,TYPE 1,MAXEVERYONE
THALESMORAN,THALESMORAN,INACTIVE,N09,TYPE 1,OOG_ALL_DRILLING
THALESMORAN,THALESMORAN,INACTIVE,N09,TYPE 1,OOG_ASSET_ENGINEER
THALESMORAN,THALESMORAN,INACTIVE,N09,TYPE 1,OOG_BASE_READ_ONLY
THALESPEREIRA,THALESPEREIRA,INACTIVE,BASE-UNP,TYPE 1,MAXEVERYONE
THALESPEREIRA,THALESPEREIRA,INACTIVE,BASE-UNP,TYPE 1,OOG_ALL_DRILLING
THALESPEREIRA,THALESPEREIRA,INACTIVE,BASE-UNP,TYPE 1,OOG_DEFSITE_DATA_RESTRICTIONS
THAYNAMARTINS,THAYNAMARTINS,INACTIVE,OP-BASE,TYPE 4,MAXEVERYONE
THAYNAMARTINS,THAYNAMARTINS,INACTIVE,OP-BASE,TYPE 4,OOG_ALL_DRILLING
THAYNAMARTINS,THAYNAMARTINS,INACTIVE,OP-BASE,TYPE 4,OOG_LOGISTICA
THAYNAMARTINS,THAYNAMARTINS,INACTIVE,OP-BASE,TYPE 4,OOG_REQUISITANTET
THIAGOBASTOS,THIAGOBASTOS,ACTIVE,N06,TYPE 4,MAXEVERYONE
THIAGOBASTOS,THIAGOBASTOS,ACTIVE,N06,TYPE 4,OOG_AB_SST
THIAGOBASTOS,THIAGOBASTOS,ACTIVE,N06,TYPE 4,OOG_ALL_DRILLING
THIAGOBASTOS,THIAGOBASTOS,ACTIVE,N06,TYPE 4,OOG_ASSET_MANAGER
THIAGOBASTOS,THIAGOBASTOS,ACTIVE,N06,TYPE 4,OOG_MOCDOC_EMISSOR
THIAGOBASTOS,THIAGOBASTOS,ACTIVE,N06,TYPE 4,OOG_MOC_OPENERS
THIAGOBASTOS,THIAGOBASTOS,ACTIVE,N06,TYPE 4,OOG_PROJECT_ENGINEER
THIAGOBASTOS,THIAGOBASTOS,ACTIVE,N06,TYPE 4,OOG_RELIABILITY_TEAM
THIAGOBRAGA,THIAGOBRAGA,INACTIVE,BASE-UNP,TYPE 4,MAXEVERYONE
THIAGOBRAGA,THIAGOBRAGA,INACTIVE,BASE-UNP,TYPE 4,OOG_TRANSPORTADOR
THIAGOCARVALHO,THIAGOCARVALHO,INACTIVE,OP-BASE,TYPE 1,MAXEVERYONE
THIAGOCARVALHO,THIAGOCARVALHO,INACTIVE,OP-BASE,TYPE 1,OOG_ALL_DRILLING
THIAGOFROES,THIAGOFROES,INACTIVE,N06,TYPE 1,MAXEVERYONE
THIAGOFROES,THIAGOFROES,INACTIVE,N06,TYPE 1,OOG_ALL_DRILLING
THIAGOHOMEM,THIAGOHOMEM,INACTIVE,BASE-UNP,TYPE 1,MAXEVERYONE
THIAGOHOMEM,THIAGOHOMEM,INACTIVE,BASE-UNP,TYPE 1,OOG_ALL_DRILLING
THIAGOHOMEM,THIAGOHOMEM,INACTIVE,BASE-UNP,TYPE 1,OOG_BASE_READ_ONLY
THIAGOJESUS,THIAGOJESUS,INACTIVE,OP-BASE,TYPE 1,MAXEVERYONE
THIAGOJESUS,THIAGOJESUS,INACTIVE,OP-BASE,TYPE 1,OOG_ALL_DRILLING
THIAGOJESUS,THIAGOJESUS,INACTIVE,OP-BASE,TYPE 1,OOG_MOCDOC_EMISSOR
THIAGOJESUS,THIAGOJESUS,INACTIVE,OP-BASE,TYPE 1,OOG_MOC_OPENERS
THIAGOKOBI,THIAGOKOBI,INACTIVE,POL,TYPE 1,MAXEVERYONE
THIAGOKOBI,THIAGOKOBI,INACTIVE,POL,TYPE 1,OOG_ALL_DRILLING
THIAGOKOBI,THIAGOKOBI,INACTIVE,POL,TYPE 1,OOG_DEFSITE_DATA_RESTRICTIONS
THIAGOKOBI,THIAGOKOBI,INACTIVE,POL,TYPE 1,OOG_DEPARTMENT_TEAM
THIAGOLOUZA,THIAGOLOUZA,ACTIVE,BASE-UNP,TYPE 2,MAXEVERYONE
THIAGOLOUZA,THIAGOLOUZA,ACTIVE,BASE-UNP,TYPE 2,OOG_ALL_DRILLING
THIAGOLOUZA,THIAGOLOUZA,ACTIVE,BASE-UNP,TYPE 2,OOG_ASSET_MANAGER
THIAGOLOUZA,THIAGOLOUZA,ACTIVE,BASE-UNP,TYPE 2,OOG_PROJECT_ENGINEER
THIAGOMESSIAS,THIAGOMESSIAS,INACTIVE,BASE-UNP,TYPE 5,MAXDEFLTREG
THIAGOMESSIAS,THIAGOMESSIAS,INACTIVE,BASE-UNP,TYPE 5,MAXEVERYONE
THIAGOMESSIAS,THIAGOMESSIAS,INACTIVE,BASE-UNP,TYPE 5,OOG_ALL_DRILLING
THIAGOMESSIAS,THIAGOMESSIAS,INACTIVE,BASE-UNP,TYPE 5,OOG_DEFSITE_DATA_RESTRICTIONS
THIAGOMESSIAS,THIAGOMESSIAS,INACTIVE,BASE-UNP,TYPE 5,OOG_DEPARTMENT_LEADER
THIAGOMESSIAS,THIAGOMESSIAS,INACTIVE,BASE-UNP,TYPE 5,OOG_ISOLATION_APPROVER
THIAGOMESSIAS,THIAGOMESSIAS,INACTIVE,BASE-UNP,TYPE 5,OOG_ISOLATION_MANAGER
THIAGOMESSIAS,THIAGOMESSIAS,INACTIVE,BASE-UNP,TYPE 5,OOG_MOC_OPENERS
THIAGORIBEIRO,THIAGORIBEIRO,INACTIVE,PGB,TYPE 1,MAXDEFLTREG
THIAGORIBEIRO,THIAGORIBEIRO,INACTIVE,PGB,TYPE 1,MAXEVERYONE
THIAGORIBEIRO,THIAGORIBEIRO,INACTIVE,PGB,TYPE 1,OOG_ALL_DRILLING
THIAGORIBEIRO,THIAGORIBEIRO,INACTIVE,PGB,TYPE 1,OOG_DEFSITE_DATA_RESTRICTIONS
THIAGORIBEIRO,THIAGORIBEIRO,INACTIVE,PGB,TYPE 1,OOG_DEPARTMENT_LEADER
THIAGORIBEIRO,THIAGORIBEIRO,INACTIVE,PGB,TYPE 1,OOG_ISOLATION_MANAGER
THIAGORIBEIRO,THIAGORIBEIRO,INACTIVE,PGB,TYPE 1,OOG_MOC_OPENERS
THIAGORIBEIRO,THIAGORIBEIRO,INACTIVE,PGB,TYPE 1,TUTOR_GROUP
THIAGOSILVEIRA,THIAGOSILVEIRA,INACTIVE,OP-BASE,TYPE 1,MAXEVERYONE
