IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT GROUPNAME, APP, OPTIONNAME FROM APPLICATIONAUTH;
  MAXADMIN, TLOAMSWCTG, SEARCHWHER
  MAXDEFLTREG, TLOAMSWCTG, SEARCHWHER
  MAXEVERYONE, TLOAMSWCTG, SEARCHWHER
  MAXADMIN, TLOAMSWCTG, SEARCHSQRY
  MAXDEFLTREG, TLOAMSWCTG, SEARCHSQRY
  MAXEVERYONE, TLOAMSWCTG, SEARCHSQRY
  MAXADMIN, TLOAMSWCTG, SEARCHTIPS
  MAXDEFLTREG, TLOAMSWCTG, SEARCHTIPS
  MAXEVERYONE, TLOAMSWCTG, SEARCHTIPS
  MAXADMIN, TLOAMSWCTG, BOOKMARK
  MAXDEFLTREG, TLOAMSWCTG, BOOKMARK
  MAXEVERYONE, TLOAMSWCTG, BOOKMARK
  MAXADMIN, TLOAMSWCTG, PREVIOUS
  MAXDEFLTREG, TLOAMSWCTG, PREVIOUS
  MAXEVERYONE, TLOAMSWCTG, PREVIOUS
  MAXADMIN, TLOAMSWCTG, NEXT
  MAXDEFLTREG, TLOAMSWCTG, NEXT
  MAXEVERYONE, TLOAMSWCTG, NEXT
  MAXADMIN, TLOAMSWCTG, CLEAR
  MAXDEFLTREG, TLOAMSWCTG, CLEAR
  MAXEVERYONE, TLOAMSWCTG, CLEAR
  MAXEVERYONE, TLOAMSWCTG, TLOAMISKBT
  MAXEVERYONE, TLOAMSWCTG, TLOAMISHSI
  MAXEVERYONE, TLOAMSWCTG, TLOAMISIBM
  MAXEVERYONE, TLOAMSWCTG, LAUNCHKBT
  MAXEVERYONE, TLOAMSWCTG, VIEWSWCTG
  MAXEVERYONE, TLOAMSWCTG, TLOAMNOEXT
  MAXEVERYONE, TLOAMSWCTG, TLOAMNOEXPRD
  MAXEVERYONE, TLOAMSWCTG, TLOAMNOEXVER
  MAXADMIN, WOTRACK, PLUSCHKTL
  MAXDEFLTREG, WOTRACK, PLUSCHKTL
  MAXEVERYONE, WOTRACK, PLUSCHKTL
  MAXADMIN, WOTRACK, PLUSREVIEW
  MAXDEFLTREG, WOTRACK, PLUSREVIEW
  MAXEVERYONE, WOTRACK, PLUSREVIEW
  MAXADMIN, WOTRACK, PLUSSPTCHK
  MAXDEFLTREG, WOTRACK, PLUSSPTCHK
  MAXEVERYONE, WOTRACK, PLUSSPTCHK
  MAXADMIN, WOTRACK, PLUSVIEWDS
