IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT LICENSENUM, APPNAME, ACCESSLEVEL, MODULE, MAXPRODID FROM MAXLICAPPS;
  OCY_EXPRESSCUR, TAGLOCKS, READONLY, PLANS, MAXIMO
  OCY_EXPRESSCUR, LMO, READONLY, INT, MAXIMO
  OCY_EXPRESSCUR, MANAGEINT, READONLY, INT, MAXIMO
  OCY_EXPRESSCUR, CONTMASTER, READSAVE, CONTRACT, MAXIMO
  OCY_EXPRESSCUR, MASTERPM, READONLY, PM, MAXIMO
  OCY_EXPRESSCUR, INTERROR, READONLY, INT, MAXIMO
  OCY_EXPRESSCUR, INTMSGTRK, READONLY, INT, MAXIMO
  OCY_EXPRESSCUR, METERGRP, READONLY, ASSET, MAXIMO
  OCY_EXPRESSCUR, METER, READONLY, ASSET, MAXIMO
  OCY_EXPRESSCUR, DEPLGROUPS, READONLY, UTIL, MAXIMO
  OCY_EXPRESSCUR, DM, READONLY, UTIL, MAXIMO
  OCY_EXPRESSCUR, DEPLCOLLS, READONLY, UTIL, MAXIMO
  OCY_EXPRESSCUR, PRECAUTN, READONLY, PLANS, MAXIMO
  OCY_EXPRESSCUR, PM, READSAVE, PM, MAXIMO
  OCY_EXPRESSCUR, PUBLISH, READONLY, INT, MAXIMO
  OCY_EXPRESSCUR, CONTPURCH, READSAVE, CONTRACT, MAXIMO
  OCY_EXPRESSCUR, PO, READSAVE, PURCHASE, MAXIMO
  OCY_EXPRESSCUR, PR, READSAVE, PURCHASE, MAXIMO
  OCY_EXPRESSCUR, QUAL, READSAVE, SETUP, MAXIMO
  OCY_EXPRESSCUR, QUICKREP, FULLACCESS, WO, MAXIMO
  OCY_EXPRESSCUR, RECEIPTS, READONLY, PURCHASE, MAXIMO
  OCY_EXPRESSCUR, RELATION, READONLY, ASSET, MAXIMO
  OCY_EXPRESSCUR, RPTOUTPUT, FULLACCESS, ANALYTICS, MAXIMO
  OCY_EXPRESSCUR, RFQ, READSAVE, PURCHASE, MAXIMO
  OCY_EXPRESSCUR, ROUTES, READONLY, PLANS, MAXIMO
  OCY_EXPRESSCUR, SAFEPLAN, READONLY, PLANS, MAXIMO
  OCY_EXPRESSCUR, ECOMMADAPT, FULLACCESS, -, MAXIMO
  OCY_EXPRESSCUR, SRVCOMMOD, READONLY, SLA, MAXIMO
  OCY_EXPRESSCUR, SRVITEM, READSAVE, INVENTOR, MAXIMO
  OCY_EXPRESSCUR, SLA, READSAVE, SLA, MAXIMO
  OCY_EXPRESSCUR, SHIPREC, READONLY, INVENTOR, MAXIMO
  OCY_EXPRESSCUR, TOOLINV, READSAVE, INVENTOR, MAXIMO
  OCY_EXPRESSCUR, STOREROOM, READONLY, INVENTOR, MAXIMO
  OCY_EXPRESSCUR, TERMCOND, READONLY, PURCHASE, MAXIMO
  OCY_EXPRESSCUR, TKTEMPLATE, READSAVE, SD, MAXIMO
  OCY_EXPRESSCUR, TOOL, READSAVE, INVENTOR, MAXIMO
  OCY_EXPRESSCUR, VIEWDRFT, FULLACCESS, SSDR, MAXIMO
  OCY_EXPRESSCUR, VIEWDR, FULLACCESS, SSDR, MAXIMO
  OCY_EXPRESSCUR, VIEWSR, FULLACCESS, SSDR, MAXIMO
  OCY_EXPRESSCUR, VIEWTMPL, FULLACCESS, SSDR, MAXIMO
  OCY_EXPRESSCUR, CONTWARRTY, READSAVE, CONTRACT, MAXIMO
  OCY_EXPRESSCUR, WSREGISTRY, READONLY, INT, MAXIMO
  OCY_EXPRESSCUR, WOTRACK, FULLACCESS, WO, MAXIMO
  OCY_EXPRESSCUR, AMCREW, READONLY, SETUP, MAXIMO
  OCY_EXPRESSCUR, AMCREWT, READONLY, SETUP, MAXIMO
