IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT NAME, PARENT, CHILD, WHERECLAUSE, CARDINALITY, DBJOINREQUIRED, REMARKS, MAXRELATIONSHIPID FROM MAXRELATIONSHIP;
  PLUSGMASTERLOCKBOX, PLUSGISOLATION, PLUSGMASTERLOCKBOX, locknum=:masterlockbox and siteid=:siteid and orgid=:orgid, -, -, Relationship for PLUSGMASTERLOCKBOX, 100470
  PLUSGLOCKDETAIL, PLUSGISOLATION, PLUSGLOCKDETAIL, locknum=:masterlockbox and refernum=:masterlockboxkey and siteid=:siteid and orgid=:orgid, -, -, Relationship for PLUSGLOCKDETAIL, 100471
  PLUSGTRAININGSTATUS, PLUSGTRAINING, PLUSGTRAININGSTATUS, trainingnum = :trainingnum and revisionnum=:revisionnum, -, -, Relationship to find all incident event status., 100472
  BOOKMARK, PLUSGTRAINING, BOOKMARK, app = 'PLUSGTRAINING' and keyvalue = :plusgtrainingid, -, -, Relationship to the bookmark records, used to find the bookmark records for a given lock boxs., 100473
  PLUSGTRAININGCHSTATUS, PLUSGTRAINING, PLUSGTRAININGCHSTATUS, -, -, -, Relationship to the non-persistent PlusGLogBookChStatus mbo. The resulting set will contain zero or more objects, 100474
  EXTDRILLDOWN, INVOICE, EXTDRILLDOWN, -, -, -, Relationship from the INVOICE to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 100126
  EXTDRILLDOWN, PM, EXTDRILLDOWN, -, -, -, Relationship from the PM to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 100127
  EXTDRILLDOWN, JOBITEM, EXTDRILLDOWN, -, -, -, Relationship from the JOBMATERIAL to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 100128
  EXTDRILLDOWN, JOBPLAN, EXTDRILLDOWN, -, -, -, Relationship from the JOBPLAN to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 100129
  EXTDRILLDOWN, RFQLINE, EXTDRILLDOWN, -, -, -, Relationship from the RFQLINE to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 100130
  OOG_ALERT, OOG_ALERTTASK, OOG_ALERT, ALERTID = :ALERTID, -, 0, -, 7000000016
  PERSON, OOG_ALERTTASK, PERSON, personid = :OOG_SSTRESPONSIBLE, -, 0, -, 7000000017
  EXTDRILLDOWN, PO, EXTDRILLDOWN, -, -, -, Relationship from the PO to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 100131
  EXTDRILLDOWN, SPLEXICONLINK, EXTDRILLDOWN, -, -, -, Relationship from the SPLEXICONLINK to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 100132
  EXTDRILLDOWN, LABTRANS, EXTDRILLDOWN, -, -, -, Relationship from the LABTRANS to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 100133
  EXTDRILLDOWN, SPWORKASSET, EXTDRILLDOWN, -, -, -, Relationship from the SPWORKASSET to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 100134
