IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT NAME, PARENT, CHILD, WHERECLAUSE, CARDINALITY, DBJOINREQUIRED, REMARKS, MAXRELATIONSHIPID FROM MAXRELATIONSHIP;
  PLUSGPERSON, WORKORDER, PERSON, personuid = :plusgactownerid, -, -, Retrieves the person for the current record., 98200
  INVRESERVEUNISSUED, INVUSE, INVRESERVE, location=:fromstoreloc and storelocsiteid=:siteid and ponum is null and polinenum is null and tostoreloc is null and (reservedqty - stagedqty - shippedqty) > 0  and  (requestnum in (select requestnum from invuseline where invuseline.invusenum=:invusenum and invuseline.requestnum=invreserve.requestnum and invuseline.requestnum is not null)   or   wonum in (select refwo from invuseline where invuseline.invusenum=:invusenum and invuseline.refwo=invreserve.wonum and invuseline.refwo is not null) or   wogroup in (select workorder.wogroup from invuseline,workorder where invuseline.invusenum=:invusenum and  invuseline.refwo is not null and invuseline.refwo=workorder.wonum and invuseline.tositeid=workorder.siteid)  or   mrnum in (select mrnum from invuseline where invuseline.invusenum=:invusenum and invuseline.mrnum=invreserve.mrnum and invuseline.mrnum is not null)), -, -, Relationship from invuse to invreserve table, used to find the invreserve records for the partial/un-issued items. The resulting set will contain zero or more objects., 97854
  MAXINTOBJALIAS, MAXINTOBJECT, MAXINTOBJALIAS, intobjectname=:intobjectname, -, -, Relationship to the MAXINTOBJALIAS table, used to find all alias columns for a given MAXINTOBJECT. (MAXINTOBJECT.intobjectname=MAXINTOBJLAIAS.intobjectname) The resulting set will contain zero or more objects., 97855
  INVRESERVEPARTIALSHIP, INVUSE, INVRESERVE, location=:fromstoreloc and storelocsiteid=:siteid and ponum is not null and polinenum is not null and porevisionnum is not null and tostoreloc is not null and shippedqty >0 and (reservedqty - pendingqty - stagedqty - shippedqty) > 0  and  (requestnum in (select requestnum from invuseline where invuseline.invusenum=:invusenum and invuseline.requestnum=invreserve.requestnum and invuseline.requestnum is not null)   or   ponum in (select ponum from invuseline where invuseline.invusenum=:invusenum and invuseline.ponum=invreserve.ponum and invuseline.ponum is not null  and invuseline.polinenum=invreserve.polinenum and invuseline.porevisionnum = invreserve.porevisionnum and invuseline.tostoreloc=invreserve.tostoreloc)), -, -, Relationship from invuse to invreserve table, used to find the invreserve records  that still hold partial shipments of inventory usage documents. The resulting set will contain zero or more objects., 97856
  CUSTOMWOWORKLOG, WORKORDER, WORKLOG, recordkey=:wonum and class=:woclass and siteid=:siteid, MULTIPLE, -, Relationship to get WORKLOG of current WORKORDER., 97858
  CUSTOMTKWORKLOG, TICKET, WORKLOG, recordkey=:ticketid and class=:class, -, -, Relationship to get WORKLOG of current TICKET., 97859
  SPLLTAGOUTS_RELASSET, SPLEXICONLINK, SPLEXICONLINK, spworkassetid = :spworkassetid and safetylexiconid in  (select safetylexiconid from safetylexicon where tagoutid is not null and assetnum=:assetnum and hazardid in (select hazardid from safetylexicon where safetylexiconid = :safetylexiconid and siteid=:siteid) and siteid=:siteid) and siteid=:siteid, -, -, Relationship to SPLexiconLink table when the owner is a tagout-enabled hazard (the parent safetylexicon has null tagoutid) that has related asset and the child set represents its tagouts. To be used only after checking that owning hazard has a non-null asset (SPLEXICONLINK.ASSETNUM). The result set will contain zero or more objects., 97860
  SPLLTAGOUTS_RELLOC, SPLEXICONLINK, SPLEXICONLINK, spworkassetid = :spworkassetid and safetylexiconid in  (select safetylexiconid from safetylexicon where tagoutid is not null and location=:location and hazardid in (select hazardid from safetylexicon where safetylexiconid = :safetylexiconid and siteid=:siteid) and siteid=:siteid) and siteid=:siteid, -, -, Relationship to SPLexiconLink table when the owner is a tagout-enabled hazard (the parent safetylexicon has null tagoutid) that has related location and the child set represents its tagouts. To be used only after checking that owning hazard has a non-null location (SPLEXICONLINK.LOCATION). The result set will contain zero or more objects., 97861
  OSLCINTQUERY, OSLCINTERACTION, OSLCINTQUERY, interactionname=:interactionname and providername=:providername, -, -, Relation to Interaction Query, 97862
  OSLCINTQUERYPARAMS, OSLCINTQUERY, OSLCINTQUERYPARAMS, interactionname=:interactionname and querynum=:querynum, -, -, Relation to OSLC Interaction Query Paramaters, 97863
  RELATIONSHIPTREE, OSLCINTQUERYPARAMS, EXPBUILDTREE, objectname=:objectname, -, -, Relationship to get relationship tree for object type., 97864
  OSLCINTGRPMEMBERS, OSLCINTGROUP, OSLCINTGRPMEMBERS, intgroupname=:intgroupname, -, -, Relation to an Interaction Group memebers. It will return 0 or more row., 97865
  OSLCINTGRPAPPS, OSLCINTGROUP, OSLCINTGRPAPPS, intgroupname=:intgroupname, -, -, Relation to an Interaction Group Application. It will return 0 or more row., 97866
  ALLMENUTYPE, OSLCINTGRPAPPS, OSLCAPPLICATION, -, -, -, Display all menu types for an Applications, 97867
  MENUITEM, OSLCAPPLICATION, OSLCAPPLICATION, -, -, -, Display all menu items for a Menu, 97868
  APPLICATIONAUTH, OSLCINTGRPAPPS, APPLICATIONAUTH, app=:appname and optionname = 'READ', -, -, Display All Application Security Groups Authorized to Read, 97869
  SIGOPTION, OSLCINTGRPAPPS, SIGOPTION, optionname=:sigoption, -, -, Display Signature Option. THis relationship will return one row, 97870
  OSLCAPPLICATIONAUTH, OSLCINTGRPAPPS, APPLICATIONAUTH, app=:appname and optionname=:sigoption, -, -, Display All Application Security Groups Authorized to Launch Interaction Group, 97871
  OSLCINTGRPAPPMENU, OSLCINTGRPAPPS, OSLCINTGRPAPPMENU, intgroupname=:intgroupname and appname=:appname, -, -, Display all menu types for an Applications, 97872
  MAXAPPS, OSLCINTGRPAPPS, MAXAPPS, app=:appname, -, -, Relation to get Application Description Name. It will return one row., 97873
  MAXOBJECT, OSLCINTGRPAPPS, MAXOBJECT, objectname=:appobject, -, -, Relation to get Object Description Name. It will return one row., 97874
  OSLCINTERACTION, OSLCINTGRPMEMBERS, OSLCINTERACTION, providername=:providername and interactionname=:interactionname, -, -, Relation to get OSLC Interaction. It will return one row., 97875
  OSLCNATIVEPREVIEW, OSLCGENERATOR, OSLCNATIVEPREVIEW, -, -, -, Relation to get native preview properties, 97876
  OSLCKEYMAP, OSOSLCMAP, OSLCKEYMAP, -, -, -, Relation to OSLC Key Map Non-persistent Object., 97877
  OSLCKEYMAP, OSLCRESOURCE, OSLCKEYMAP, -, -, -, Relation to OSLC Key Map Non-persistent Object., 97878
  OSLCRESOURCEDETAIL, OSLCRESOURCE, OSLCRESOURCEDETAIL, intobjectname=:intobjectname, -, -, Relation to get all OSLC Resource details. This relationship returns one or more rows., 97879
  MAXINTOBJECT, OSLCRESOURCE, MAXINTOBJECT, intobjectname=:intobjectname, -, -, Relation to get Object Struture description. This relationship returns one row., 97880
  PLUSGPREPAUDIT, WORKORDER, PLUSGAUDIT, plusgauditid = :plusgprepaudid, -, -, Retrieves the audit record for a workorder., 98201
  PLUSGWOACTPERSON, PERSON, WORKORDER, plusgactownerid = :personuid, -, -, Retrieves the attendence records in permit to work where the person is associated., 98202
  PLUSGPREPWORKORDER, PLUSGAUDIT, WORKORDER, plusgprepaudid = :plusgauditid, -, -, Retrieves the workorder record using the audit., 98203
  PLUSGWOSTDACT, WORKORDER, PLUSGWOSTDACT, workorderid = :workorderid, -, -, Relationship to retrieve all the actions of a certification., 98204
  PLUSGPERSON, PLUSGWOSTDACT, PERSON, personuid = :actionbyid, -, -, Relationship to person to retrieve its details., 98205
  PLUSGPERSONGROUP, PLUSGWOSTDACT, PERSONGROUP, persongroupid = :actionbygroupid, -, -, Relationship to person group to retrieve its details., 98206
  PLUSGSTDACT, PLUSGWOSTDACT, PLUSGSTDACT, plusgstdactid = :plusgstdactid, -, -, Relationship to standard action to retrieve its details., 98207
  PLUSGWOSTDACT, PERSON, PLUSGWOSTDACT, actionbyid = :personuid, -, -, Relationship to certifications' person that will take an action into an action., 98208
  PLUSGWOSTDACT, PERSONGROUP, PLUSGWOSTDACT, actionbygroupid = :persongroupid, -, -, Relationship to person group that is responsible for taking an action., 98209
  PLUSGWOSTDACT, PLUSGSTDACT, PLUSGWOSTDACT, plusgstdactid = :plusgstdactid, -, -, Relationship to certifications' standard action list., 98210
  PLUSGSTDACTGRP, PLUSGWOSTDACT, PLUSGSTDACTGRP, plusgstdactgrpid = :plusgstdactgrpid, -, -, Relationship to standard action group to retrieve its details., 98211
  PLUSGWOSTDACT, PLUSGSTDACTGRP, PLUSGWOSTDACT, plusgstdactgrpid = :plusgstdactgrpid, -, -, Relationship to certifications' standard group list., 98212
  PLUSGCERT, HAZARD, PLUSGCERT, plusgcertid = :plusgcertid, -, -, Retrieves the certifications record for a hazard., 98213
  PLUSGHAZARD, PLUSGCERT, HAZARD, plusgcertid = :plusgcertid, -, -, Retrieves the hazard record using the certifications., 98214
  CLASSSPEC, HAZARD, CLASSSPEC, classstructureid = :classstructureid, -, -, Relationship to the classspec table, used to find the classspec record for a given PLUSGSPEC. (plusgspec.classspecid = classspec.classspecid) The resulting set will contain one object., 98215
  HAZARDSPEC, HAZARD, PLUSGSPEC, objectid = :hazarduid and objectname = 'HAZARD', -, -, Retrieves the specification for the current record., 98216
  HAZARDSPECCLASS, HAZARD, PLUSGSPEC, objectid = :hazarduid and objectname = 'HAZARD' and classstructureid = :classstructureid, -, -, Relationship to the PLUSGSPEC table, used to find the PLUSGSPEC records for a given record., 98217
  PLUSGPERWORKSIMOP, PLUSGPERMITWORK, PLUSGPERWORKSIMOP, 1 = 1, -, -, Relationship to simultaneous operations., 98218
  PLUSGOWNERHISTORY, PLUSGPERMITWORK, PLUSGOWNERHISTORY, recordid = :plusgpermitworkid and class = 'PLUSGPERMITWORK', -, -, Relationship to the ownership history records., 98220
  PLUSGPERMITWORK, WORKORDER, PLUSGPERMITWORK, plusgpermitworkid = :plusgpermitworkid, -, -, Relationship to retrieve information about a permit to work., 98221
  PLUSGWOTESTRES, WORKORDER, PLUSGWOTESTRES, workorderid = :workorderid, -, -, Retrieves the readings for a test result., 98222
  PLUSGPERSON, PLUSGWOTESTRES, PERSON, personuid = :inspectorid, -, -, Retrieves the person who has taken the reading., 98223
  MEASUREPOINT, PLUSGWOTESTRES, MEASUREPOINT, measurepointid = :measurepointid, -, -, Relationship to retrieve measure points information., 98224
  PLUSGWOTESTRES, PERSON, PLUSGWOTESTRES, inspectorid = :personuid, -, -, Retrieves the readings associated with a person., 98225
  PLUSGLOCPROFCHSTATUS, PLUSGLOCPROF, PLUSGLOCPROFCHSTATUS, -, -, -, Relationship to the non-persistent PLUSGLOCPROFChStatus mbo. The resulting set will contain zero or more objects, 98227
  PLUSGLOCPROFSTATUS, PLUSGLOCPROF, PLUSGLOCPROFSTATUS, plusglocprofid = :plusglocprofid, -, -, Relationship to the PlusGLocProfStatus mbo, used to find all location profile's status., 98228
  PLUSGSTATUSDESC, PLUSGLOCPROF, SYNONYMDOMAIN, domainid='PLUSGLOCPROFSTATUS' and value = :status, -, -, Relationship to SYNONYMDOMAIN, 98229
  BOOKMARK, PLUSGLOCPROF, BOOKMARK, app = 'PLUSGLOCPROF' and keyvalue = :plusglocprofid, -, -, Relationship to the bookmark records, used to find the bookmark records for a given location profile., 98230
  DOCLINKS, PLUSGLOCPROF, DOCLINKS, ownertable = 'PLUSGLOCPROF' and ownerid = :plusglocprofid, -, -, Relationship to the Doclinks table.  Used to find out DocLinks for the Location Profile. The resultset will contain zero or more objects., 98231
  PLUSGPERSONS, PLUSGLOCPROF, PERSONGROUPVIEW, 1=1, -, -, Retrieves all persons on PERSONGROUPVIEW., 98232
  DRILLDOWN, PLUSGLOCPROF, DRILLDOWN, -, -, -, Relationship from the PLUSGLOCPROF to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 98233
  VIEWCONTINPUT, PLUSGLOCPROF, VIEWCONTINPUT, -, -, -, Relationship to the non-persistent ViewContInput., 98234
  VIEWWOPMS, PLUSGLOCPROF, VIEWWOPMS, -, -, -, Relationship from the PLUSGLOCPROF to the non-persistent VIEWWOPMS table. (Nowhere clause.) The resulting set will contain zero objects. This relationship is used when the View Work Details dialog is launched from a location or asset field., 98235
  PLUSGWORKLOG, PLUSGLOCPROF, WORKLOG, recordkey = :profnum and class = 'PLUSGLOCPROF' and ((:orgid is null or :orgid = '') or (orgid = :orgid and ((:siteid is null or :siteid = '') or siteid = :siteid))), -, -, Relationship to the worklog records, used to find the worklog records for a given location profile., 98236
  PLUSGMODWL, PLUSGLOCPROF, WORKLOG, recordkey = :profnum and class = 'PLUSGLOCPROF' and ((:orgid is null or :orgid = '') or (orgid = :orgid and ((:siteid is null or :siteid = '') or siteid = :siteid))), -, -, Relationship to the worklog records, used to find the worklog records for a given location profile., 98237
  ASSET, OOG_CARGOMANLINE, ASSET, assetnum = :assetnum and siteid=(SELECT DEFSITE FROM MAXUSER WHERE USERID = :user), -, 0, Relationship to retrieve the Asset associated with the Cargo Manifest Line., 97466
  INVENTORY, OOG_CARGOMANLINE, INVENTORY, itemnum = :itemnum and itemsetid = :itemsetid and location = :tolocation and :type = 'NORMAL', -, 0, Relationship to retrieve the Inventory record associated with the Cargo Manifest Line., 97468
  INVBAL_RECEIPT, OOG_CARGOMANLINE, INVBALANCES, itemnum = :itemnum and itemsetid = :itemsetid and location = :tolocation and binnum = :tobin, -, 0, -, 97469
  POLINE_RECEIPT, OOG_CARGOMANLINE, POLINE, ponum = :ponum and polinenum = :polinenum and revisionnum = (select po.revisionnum from po where po.ponum = poline.ponum and po.siteid = poline.siteid and po.status = 'APPR') and siteid = (select tosite from oog_cargoman where cargomannum = :cargomannum and revisionnum = :revisionnum and orgid = :orgid), -, 0, -, 97471
  MEASUREUNIT, OOG_CARGOMANLINE, MEASUREUNIT, measureunitid = :uom, -, 0, Relationship to the Measure Unit table, used to find the description for a given unit of measure., 97472
  OOG_ITEM, OOG_PRTRKMXPR, ITEM, ITEMNUM =:ITEMNUM, -, 0, -, 97475
  CARGOMAN, OOG_DISCREPANCY, OOG_CARGOMAN, cargomannum = :cargomannum and revisionnum = :revision and orgid = :orgid, -, 0, Relationship to retrieve the Cargo Manifest to which the Receipt Discrepancy belongs to. The resulting set will have one element., 97476
  OOG_OAPOCLONE, OOG_PRTRKMXPR, OOG_PRTRKOAPOCLONE, maxprnum=:maxprnum and maxprlinenum =:maxprlinenum  and maxsiteid=:maxsiteid and maxorgid=:maxorgid, -, 0, -, 97478
  OOG_MANUFACTURER, REORDERPAD, COMPANIES, company=:manufacturer and orgid=:orgid, -, 0, Relationship to the companies table, used to find the companies records for a given Reorder record., 97479
  OOG_OARFQ, OOG_PRTRKMXPR, OOG_PRTRKOARFQ, maxprnum=:maxprnum and maxprlinenum =:maxprlinenum  and maxsiteid=:maxsiteid and maxorgid=:maxorgid, -, 0, -, 97481
  OOG_OAPO, OOG_PRTRKMXPR, OOG_PRTRKOAPO, maxprnum=:maxprnum and maxprlinenum =:maxprlinenum  and maxsiteid=:maxsiteid and maxorgid=:maxorgid 
and OOG_PRTRKOAPOid =  (select max(OOG_PRTRKOAPOid) from MAXIMO.OOG_PRTRKOAPO where maxprnum=:maxprnum and maxprlinenum =:maxprlinenum  and maxsiteid=:maxsiteid and maxorgid=:maxorgid ), -, 0, -, 97482
  OOG_OARECEIPT, OOG_PRTRKMXPR, OOG_PRTRKOARECEIPT, exists (select * from OOG_PRTRKOAPO 
where MAXSITEID=OOG_PRTRKOARECEIPT.MAXSITEID and MAXORGID=OOG_PRTRKOARECEIPT.MAXORGID 
and maxponum=OOG_PRTRKOARECEIPT.maxponum and maxpoline=OOG_PRTRKOARECEIPT.maxpoline
and maxprnum=:maxprnum and maxprlinenum =:maxprlinenum  and maxsiteid=:maxsiteid and maxorgid=:maxorgid), -, 0, -, 97484
  OOG_OAIMP, OOG_PRTRKOAPO, OOG_PRTRKOAIMP, MAXSITEID=:MAXSITEID and MAXORGID=:MAXORGID and maxponum=:maxponum and maxpoline=:maxpoline, -, 0, -, 97486
  OOG_PRAPPR, OOG_PRTRKMXPR, PRSTATUS, prnum = :maxprnum and siteid = :maxsiteid and orgid = :maxorgid
and status = 'APPR'
and TRUNC(changedate) = (select TRUNC(min(a.changedate)) from prstatus a where a.prnum=PRSTATUS.prnum and a.siteid = PRSTATUS.siteid and a.orgid = PRSTATUS.orgid), -, 0, -, 97488
  OOG_OAINV, OOG_PRTRKOAPO, OOG_PRTRKOAINV, MAXSITEID=:MAXSITEID and MAXORGID=:MAXORGID and maxponum=:maxponum and maxpoline=:maxpoline, -, 0, -, 97493
  OOG_PRLINE, OOG_PRTRKOAPR, PRLINE, prnum = :maxprnum and prlinenum = :maxprlinenum and siteid = :maxsiteid and orgid = :maxorgid, -, 0, -, 97496
  OOG_LOCATION, PLUSCPREGENASSET, LOCATIONS, location = :location and siteid=:siteid, -, 0, -, 97499
  OOG_TEMPLATE_SITE, PLUSCTEMPLATE, OOG_TEMPLATE_SITE, templateid = :templateid and oog_orgid = :orgid, -, 0, -, 97502
  OOG_WORKTYPE, PM, WORKTYPE, worktype = :worktype and orgid=:orgid, -, 0, Relationship to the WorkType table., 97505
  OOG_SHIPTO_BRASIL, PR, BILLTOSHIPTO, siteid=:siteid
and addresscode in (select addresscode from address where description='BRASIL'), -, 0, -, 97508
  OOG_GL_DESCRIPTION_SPE, PRLINE, ALNDOMAIN, SITEID = :siteid and ORGID = :orgid and DOMAINID = 'OOG_SITEXUO' and DESCRIPTION = 'SPE', -, 0, Relationship to get the value field, 97511
  OOG_PRTRKOARECEIPT, POLINE, OOG_PRTRKOARECEIPT, maxponum=:ponum and  maxpoline =:polinenum and maxsiteid =:siteid  and exists( select 1 from maximo.OOG_PRTRKOAPO oap where oap.maxponum = :ponum and oap.maxpoline = :polinenum and oap.porevisionnum = :revisionnum  and oap.maxsiteid = :siteid ), -, 0, -, 97514
  OOG_WORKTYPE, WORKORDER, WORKTYPE, worktype = :worktype and orgid=:orgid, -, 0, Relationship to the WorkType table., 97518
  LOCATIONS, WORKORDER, LOCATIONS, location = :location and siteid=:siteid, -, 0, -, 97519
  OOG_INPRGSTATUS, WORKORDER, WORKORDER, EXISTS (SELECT 1 FROM WPSERVICE WHERE WONUM in (select wonum from workorder where parent = :wonum or wonum = :wonum) AND SITEID = WORKORDER.SITEID)
AND EXISTS (SELECT 1 FROM PO WHERE STATUS = 'APPR' AND EXISTS (SELECT 1 FROM POLINE WHERE PONUM = PO.PONUM AND REVISIONNUM = PO.REVISIONNUM
 AND refwo in (select wonum from workorder where parent = :wonum or wonum = :wonum) AND SITEID = WORKORDER.SITEID))
AND WONUM =:wonum AND SITEID =:siteid, -, 0, -, 97522
  CARGOMANLINE, OOG_DISCREPANCY, OOG_CARGOMANLINE, cargomannum = :cargomannum and revisionnum = :revision and cargomanlinenum = :cargomanlinenum and orgid = :orgid, -, 0, Relationship to retrieve to Cargo Manifest Line to which the Receipt Discrepancy belongs to. The resulting set will have one element., 97538
  OOG_PR, OOG_PRTRKMXPR, PR, prnum = :maxprnum and siteid = :maxsiteid and orgid = :maxorgid, -, 0, -, 97554
  POREV, WPMATERIAL, PO, ponum in (select prline.ponum from prline where prnum=:pr and prlinenum=:prlinenum and prline.siteid=:siteid and prline.ponum=po.ponum and prline.siteid=po.siteid and status in ( select value from synonymdomain where domainid='POSTATUS' and maxvalue in ('WAPPR','APPR','INPRG','CLOSE','HOLD'))) and siteid=:siteid  , -, -, Relationship to find the PO from a planned material in a workorder, 97412
  REPORTADHOCFIELD, REPORT, REPORTADHOCFIELD, reportname=:reportname and appname=:appname, -, -, Relationship from Report to ReportAdHocField., 96083
  IMGLIB, CLASSSTRUCTURE, IMGLIB, refobject = 'CLASSSTRUCTURE' and refobjectid = :classstructureuid, UNDEFINED, 0, Relationship to the IMGLIB table, used to find the image for a given class structure. (imglib.refobject='CLASSSTRUCTURE'; and imglib.refobjectid=:classstructure$CLASSSTRUCTURE.CLASSSTRUCTUREUID). The resulting set will contain zero or one object., 96084
  EXPBUILDER, SCRIPTLAUNCHPOINT, EXPBUILDER, 1=1, -, -, Relationship to get expression builder for object type., 96085
  SCREXPBUILDER, SCRIPTLAUNCHPOINT, EXPBUILDER, 1=1, -, -, Relationship to get expression builder for object type., 96086
  SCRATTRTREE, SCRIPTLAUNCHPOINT, SCRATTRTREE, 1=1, -, -, Relationship to get expression builder for object type., 96087
  MAXATTRIBUTE, SCRIPTLAUNCHPOINT, MAXATTRIBUTE, objectname = :objectname, -, -, Relationship to the  MAXATTRIBUTE table, used to find the all launch points of the script.  This resulting set will contain 1 or more objects., 96088
  TREENODE, SCRATTRTREE, SCRATTRTREE, 1=1, -, -, Relationship to get expression builder for object type., 96089
  SCRATTRTREE, AUTOSCRIPTVARS, SCRATTRTREE, 1=1, -, -, Relationship to get expression builder for object type., 96090
  INVLIFOFIFOCOST, INVENTORY, INVLIFOFIFOCOST, itemnum = :itemnum and itemsetid=:itemsetid and location=:location and siteid=:siteid, -, -, Relationship to the invlifofifocost table, used to find the invlifofifocost records for a given Invnetory. (invlifofifocost.itemnum = inventory.itemnum and invlifofifocost.location=inventory.location and invlifofifocost.itemsetid=inventory.itemsetid). The resulting set will contain one or more objects. The resulting set will contain zero or one object., 96091
  INVLIFOFIFOCOST, INVTRANS, INVLIFOFIFOCOST, itemnum = :itemnum and location=:location and itemsetid=:itemsetid and siteid=:siteid, -, -, Relationship to the invtrans table, used to find the invtrans records for a given Inventory Lifo Fifo Cost. The resulting set will contain zero or one object., 96092
  INVLIFOFIFOCOST, ITEM, ITEM, itemnum = :itemnum and itemsetid = :itemsetid, -, -, Relationship to the item table, used to find the item record for a given Inventory Lifo Fifo Cost. The resulting set will contain zero or one object., 96093
  INVLIFOFIFOCOST, ITEMCONDITION, INVLIFOFIFOCOST, itemnum = :itemnum and itemsetid=:itemsetid and conditioncode=:conditioncode, -, -, Relationship to the itemcondition table, used to find the itemcondition records for a given inventory cost record. The resulting set will contain zero or one object., 96094
  ITEMCONDITION, INVLIFOFIFOCOST, ITEMCONDITION, itemnum = :itemnum and itemsetid=:itemsetid and conditioncode=:conditioncode, -, -, Relationship to the itemcondition table, used to find the itemcondition records for a given invlifofifocost record. (itemcondition.itemnum = invlifofifocost.itemnum and itemcondition.itemsetid=invlifofifocost.itemsetid and itemcondition.conditioncode=invlifofifocost.conditioncode). The resulting set will contain zero or one object., 96095
  INVLIFOFIFOCOST_COND, INVENTORY, INVLIFOFIFOCOST, itemnum = :itemnum and itemsetid=:itemsetid and location=:location and siteid=:siteid and condrate = 100, -, -, Relationship to Invlifofifocost table. The resulting set will contain one object., 96096
  LIFOFIFOCOST, INVENTORY, LIFOFIFOCOST, itemnum=:itemnum and location=:location and itemsetid=:itemsetid and siteid=:siteid, -, -, Relationship to LifoFifoCost table. This relationship will find one object., 96097
  LIFOFIFOCOST, ITEMCONDITION, LIFOFIFOCOST, itemnum = :itemnum and itemsetid=:itemsetid and conditioncode=:conditioncode, -, -, Relationship to LifoFifoCost table. This relationship will find one object., 96098
  LIFOFIFOCOST, ITEM, LIFOFIFOCOST, itemnum = :itemnum and itemsetid=:itemsetid, -, -, Relationship to LifoFifoCost table. This relationship will find one or more objects., 96099
  ITEM, LIFOFIFOCOST, ITEM, itemnum=:itemnum and itemsetid=:itemsetid, -, -, Relationship to Item table. This relationship will find one object., 96100
  DMPKGDSTTRGTALLDB, DMPACKAGEDEF, DMPKGDSTTRGT, type in (select value from synonymdomain where domainid = 'DMPKGTRGTTYPE' and maxvalue = 'DATABASE'), -, -, Relationship to get targets that are Database targets., 96101
  DMCOLLECTION, DMCOMPJOB, DMCOLLECTION, collection=:collection and source=:source, -, -, Relationship to Collections., 96102
  DMCOMPARESYNCJOB, DMCOMPJOB, DMCOMPARESYNCJOB, 1=1, -, -, Relationship from DMCOMPJOB to DMCOMPARESYNCJOB, 96103
  DMCOMPRESULTTOCOLLECTION, DMCOMPJOB, DMCOMPRESULT, compjobnum=:compjobnum and result in (select value from synonymdomain where domainid = 'DMCOMPRESULT' and maxvalue not in ('MATCH', 'REMOTEONLY')), -, -, Relationship to all records to add to a Collection., 96104
  DMCOLLOBJCOMPARE, DMCOLLECTION, DMCOLLECTIONOBJECT, collection=:collection and source=:source, -, -, Relationship to find all dmcollectionobjects for a dmcollection, 96105
  TOPOLOGYASSETWORKS, ASSET, WORKORDER, wonum in (select ma.recordkey from WORKORDER wo, MULTIASSETLOCCI ma          where wo.WONUM=ma.RECORDKEY and ma.assetnum=wo.assetnum and wo.assetnum=:assetnum)          and woclass in (select value from synonymdomain where domainid='WOCLASS' and maxvalue in ('ACTIVITY', 'CHANGE', 'WORKORDER'))          and status in (select value from synonymdomain where domainid='WOSTATUS' and maxvalue not in ('COMP','CAN','CLOSE')), -, -, Relation that returns all the work          tasks associated with this asset that have not been completed or          canceled., 96106
  ASSETCACHEREL, ASSET, ASSETTOPOCACHE, sourceassetnum=:assetnum or targetassetnum=:assetnum, -, -, Relation between asset and cache, 96107
  RELATEDASSET, ASSET, ASSETLOCRELATION, sourceassetnum=:assetnum or targetassetnum=:assetnum, UNDEFINED, 0, For given asset, retrieve its all related assets, either as source or as target, 96108
  CPYPOLINE, INVOICE, CPYPOLINE, -, -, -, Relationship to non-persistent CPYPOLINE object, 96109
  RELATIONRULESEXT, RELATION, RELATIONRULESEXT, relationnum=:relationnum, -, -, Extended Relationship Rules, 96110
  TARGETCLASS, RELATIONRULESEXT, CLASSSTRUCTURE, classstructureid=:targetclass, -, -, Class structure relationship, 96111
  SOURCECLASS, RELATIONRULESEXT, CLASSSTRUCTURE, classstructureid=:sourceclass, -, -, Class structure relationship, 96112
  ORGANIZATION, QUOTATIONLINE, ORGANIZATION, orgid=:orgid, -, -, QuotationLine to Organization, 96113
  RFQVENDOR, QUOTATIONLINE, RFQVENDOR, rfqnum=:rfqnum and vendor=:vendor and siteid=:siteid, -, -, QuotationLine to RFQVendor, 96114
  SLARECTICKET, SLARECORDS, TICKET, :ownertable = 'TICKET' and :ownerid = ticketuid, -, -, Relationship to Ticket, 96115
  DMCOMPDELSYNCJOB, DMCOMPJOB, DMCOMPDELSYNCJOB, 1=1, -, -, Relationship from DMCOMPJOB to DMCOMPDELSYNCJOB, 96116
  MAXINTOBJECT, REPORTADHOC, MAXINTOBJECT, intobjectname=:reportobject, -, -, Relationship from the REPORTADHOC table to the MAXINTOBJECT table., 96117
  SCCONFIG, MAXUSER, SCCONFIG, userid = :userid, -, -, Start Center Configuration for a user.  Will contain zero or more records., 96118
  PLUSGRCFAAPPBY, TICKET, PERSON, personid=:plusgrcfaappby, -, -, Relationship between Person and Ticket - RCFA Approved By field, 96554
  PLUSGRCFARESULTS, TICKET, PLUSGRCFARESULTS, ticketid = :ticketid, -, -, Relationship between parent table TICKET and child table PLUSGRCFARESULTS. This relationship will show all the RCFA records related to a problem., 96555
  PLUSGSOLUTIONLST, TICKET, PLUSGSOLUTIONLST, ticketid = :ticketid and solution in (select solution from solution where plusgislesslearned = :no), -, -, Relationship between parent table TICKET and child table PLUSGSOLUTIONLST. This relationship will show all the Solution records related to a problem., 96556
  PLUSGSOLUTIONLST_LESSONLEARNED, TICKET, PLUSGSOLUTIONLST, ticketid = :ticketid and solution in (select solution from solution where plusgislesslearned = :yes), -, -, Relationship between parent table TICKET and child table PLUSGSOLUTIONLST. This relationship will show all the Lessons Learned (Solutions) records related to a problem., 96557
  PLUSGINVESTLEAD, TICKET, PERSON, personid=:plusginvestlead, -, -, Relationship between Person and Ticket - Investigation Lead field, 96558
