IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT APPNAME, MODULE, SELFSERVICE, LIMITEDUSE, AUTHORIZEDUSE FROM MAXLICAPPACCESS;
  SECURGROUP, SECURITY, NOACCESS, READONLY, FULLACCESS
  USER, SECURITY, NOACCESS, READSAVE, FULLACCESS
  AMCREW, SETUP, NOACCESS, READONLY, FULLACCESS
  AMCREWT, SETUP, NOACCESS, READONLY, FULLACCESS
  ASSETCAT, SETUP, NOACCESS, READONLY, FULLACCESS
  BBOARD, SETUP, FULLACCESS, FULLACCESS, FULLACCESS
  CALENDR, SETUP, NOACCESS, READONLY, FULLACCESS
  CGRPASSIGN, SCHEDULER, NOACCESS, READONLY, FULLACCESS
  CITYPE, SETUP, NOACCESS, READSAVE, FULLACCESS
  CONDEXPMGR, SETUP, NOACCESS, READSAVE, FULLACCESS
  CRAFT, SETUP, NOACCESS, READONLY, FULLACCESS
  DPAMADPT, SETUP, NOACCESS, READONLY, FULLACCESS
  DPAMMANU, SETUP, NOACCESS, READONLY, FULLACCESS
  DPAMOS, SETUP, NOACCESS, READONLY, FULLACCESS
  DPAMPROC, SETUP, NOACCESS, READONLY, FULLACCESS
  DPAMSW, SETUP, NOACCESS, READONLY, FULLACCESS
  DPAMSWS, SETUP, NOACCESS, READONLY, FULLACCESS
  DPAMSWUSG, SETUP, NOACCESS, READONLY, FULLACCESS
  KPI, SETUP, NOACCESS, READONLY, FULLACCESS
  KPITPL, SETUP, NOACCESS, READONLY, FULLACCESS
  LABOR, SETUP, NOACCESS, READSAVE, FULLACCESS
  MPMAN, SETUP, NOACCESS, READONLY, FULLACCESS
  MULTISITE, SETUP, NOACCESS, READONLY, FULLACCESS
  PERSON, SETUP, NOACCESS, READSAVE, FULLACCESS
  PERSONGR, SETUP, NOACCESS, READONLY, FULLACCESS
  QUAL, SETUP, NOACCESS, READSAVE, FULLACCESS
  RCNASTLINK, SETUP, NOACCESS, READONLY, FULLACCESS
  RCNASTRSLT, SETUP, NOACCESS, READONLY, FULLACCESS
  RCNCILINK, SETUP, NOACCESS, READONLY, FULLACCESS
  RCNCIRSLT, SETUP, NOACCESS, READONLY, FULLACCESS
  RCNCMPRULE, SETUP, NOACCESS, READONLY, FULLACCESS
  RCNLNKRULE, SETUP, NOACCESS, READONLY, FULLACCESS
  RCNTSKFLTR, SETUP, NOACCESS, READONLY, FULLACCESS
  RECONTASK, SETUP, NOACCESS, READONLY, FULLACCESS
  REPORT, SETUP, NOACCESS, READONLY, FULLACCESS
  RLADMIN, SETUP, NOACCESS, READONLY, FULLACCESS
  SETS, SETUP, NOACCESS, READONLY, FULLACCESS
  SRVAD, SETUP, NOACCESS, READONLY, FULLACCESS
  TLOAMSWCTG, SETUP, NOACCESS, NOACCESS, NOACCESS
  WORKVIEW, SETUP, NOACCESS, FULLACCESS, FULLACCESS
  WORKZONE, SETUP, NOACCESS, READONLY, FULLACCESS
  SLA, SLA, NOACCESS, READSAVE, FULLACCESS
  SRVCOMMOD, SLA, NOACCESS, READONLY, FULLACCESS
  CREATEDR, SSDR, FULLACCESS, FULLACCESS, FULLACCESS
  CREATESR, SSDR, FULLACCESS, FULLACCESS, FULLACCESS
  SEARCHSOL, SSDR, FULLACCESS, FULLACCESS, FULLACCESS
  VIEWDR, SSDR, FULLACCESS, FULLACCESS, FULLACCESS
  VIEWDRFT, SSDR, FULLACCESS, FULLACCESS, FULLACCESS
  VIEWSR, SSDR, FULLACCESS, FULLACCESS, FULLACCESS
  VIEWTMPL, SSDR, FULLACCESS, FULLACCESS, FULLACCESS
  ACTION, UTIL, NOACCESS, READONLY, FULLACCESS
  AUTOSCRIPT, UTIL, NOACCESS, READONLY, FULLACCESS
  COMMTMPLT, UTIL, NOACCESS, READONLY, FULLACCESS
  CONFIGUR, UTIL, NOACCESS, READONLY, FULLACCESS
  CRONTASK, UTIL, NOACCESS, READONLY, FULLACCESS
  DEPLCOLLS, UTIL, NOACCESS, READONLY, FULLACCESS
  DEPLGROUPS, UTIL, NOACCESS, READONLY, FULLACCESS
  DESIGNER, UTIL, NOACCESS, READONLY, FULLACCESS
  DM, UTIL, NOACCESS, READONLY, FULLACCESS
  DOMAINADM, UTIL, NOACCESS, READONLY, FULLACCESS
  EMAILSTNER, UTIL, NOACCESS, READONLY, FULLACCESS
  ESCALATION, UTIL, NOACCESS, READONLY, FULLACCESS
  IBMCONTENT, UTIL, NOACCESS, READONLY, FULLACCESS
  IMICONF, UTIL, NOACCESS, READONLY, FULLACCESS
  LOGGING, UTIL, NOACCESS, READONLY, FULLACCESS
  MFMAILCFG, UTIL, NOACCESS, READONLY, FULLACCESS
  PROPMAINT, UTIL, NOACCESS, READONLY, FULLACCESS
  ROLE, UTIL, NOACCESS, READONLY, FULLACCESS
  WFADMIN, UTIL, NOACCESS, READONLY, FULLACCESS
  WFDESIGN, UTIL, NOACCESS, READONLY, FULLACCESS
  LABREP, WO, NOACCESS, FULLACCESS, FULLACCESS
  QUICKREP, WO, NOACCESS, FULLACCESS, FULLACCESS
  WORKMAN, WO, NOACCESS, READONLY, FULLACCESS
  WOTRACK, WO, NOACCESS, FULLACCESS, FULLACCESS
  PLUSTASCAT, SETUP, NOACCESS, READONLY, FULLACCESS
  PLUSTORG, SETUP, NOACCESS, READONLY, FULLACCESS
  PLUSTPOS, SETUP, NOACCESS, READONLY, FULLACCESS
  PLUSTCOMP, SETUP, NOACCESS, READONLY, FULLACCESS
  PLUSTAXCFG, SETUP, NOACCESS, READONLY, FULLACCESS
  PLUSTASSET, ASSET, NOACCESS, READSAVE, FULLACCESS
  PLUSTTMPLT, ASSET, NOACCESS, READSAVE, FULLACCESS
  PLUSTLOC, ASSET, NOACCESS, READSAVE, FULLACCESS
  PLUSTLOGS, ASSET, NOACCESS, READSAVE, FULLACCESS
  PLUSTPOCON, CONTRACT, NOACCESS, READSAVE, FULLACCESS
  PLUSTIWC, PLUSTWARR, NOACCESS, READSAVE, FULLACCESS
  PLUSTCLAIM, PLUSTWARR, NOACCESS, READSAVE, FULLACCESS
  PLUSTAWC, PLUSTWARR, NOACCESS, READSAVE, FULLACCESS
  PLUSTCLIP, WO, NOACCESS, READONLY, FULLACCESS
  PLUSTQRP, WO, NOACCESS, FULLACCESS, FULLACCESS
  PLUSTWO, WO, NOACCESS, FULLACCESS, FULLACCESS
  PLUSTLRP, WO, NOACCESS, FULLACCESS, FULLACCESS
  PLUSTCMP, WO, NOACCESS, READONLY, FULLACCESS
  PLUSTWRKMN, WO, NOACCESS, READONLY, FULLACCESS
  PLUSTINSP, WO, NOACCESS, READONLY, FULLACCESS
  PLUSTPR, PURCHASE, NOACCESS, READSAVE, FULLACCESS
  PLUSTPO, PURCHASE, NOACCESS, READSAVE, FULLACCESS
  PLUSTREC, PURCHASE, NOACCESS, READSAVE, FULLACCESS
  PLUSTIVO, PURCHASE, NOACCESS, READSAVE, FULLACCESS
  PLUSTRFQ, PURCHASE, NOACCESS, READSAVE, FULLACCESS
  PLUSTPM, PM, NOACCESS, READSAVE, FULLACCESS
  PLUSTMASPM, PM, NOACCESS, READONLY, FULLACCESS
  PLUSTJP, PLANS, NOACCESS, READSAVE, FULLACCESS
  PLUSTASLT, PLANS, NOACCESS, READSAVE, FULLACCESS
  PLUSTRS, PLUSTMP, NOACCESS, READONLY, FULLACCESS
  PLUSTVS, PLUSTMP, NOACCESS, READONLY, FULLACCESS
  PLUSTVR, PLUSTMP, NOACCESS, READONLY, FULLACCESS
  PLUSTITM, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  PLUSTINV, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  PLUSTISS, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  PLUSTFLISS, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  PLUSTCOUNT, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  PLUSTSTKRG, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  PLUSTINVUS, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  PLUSTDTIMP, PLUSTDTIMP, NOACCESS, READONLY, FULLACCESS
  SCHOVAVAIL, SCHEDULER, NOACCESS, READONLY, FULLACCESS
  SCHEDMAX, SCHEDULER, NOACCESS, READONLY, FULLACCESS
  APPTBKMGR, SETUP, NOACCESS, READONLY, FULLACCESS
  TWCCFGMGR, SETUP, NOACCESS, READONLY, FULLACCESS
  APPTBOOK, SCHEDULER, NOACCESS, READONLY, FULLACCESS
  WEATHERADMIN, SETUP, NOACCESS, READONLY, FULLACCESS
  TZRULE, SETUP, NOACCESS, READONLY, FULLACCESS
  JSONMAP, INT, NOACCESS, READONLY, FULLACCESS
  NOTIF, INT, NOACCESS, READONLY, FULLACCESS
  INSPECTORSUP, PLANS, NOACCESS, READSAVE, FULLACCESS
  INSPECTOR, WO, NOACCESS, FULLACCESS, FULLACCESS
  TOKENLIC, SETUP, NOACCESS, READONLY, FULLACCESS
  DATASETDESIGNER, ANALYTICS, NOACCESS, READONLY, FULLACCESS
  BUSINESSANALYST, ANALYTICS, NOACCESS, NOACCESS, READONLY
  SELFSERVICE, SSDR, READONLY, READONLY, READONLY
  SUPERVISOR, WO, NOACCESS, FULLACCESS, FULLACCESS
  TECHNICIAN, WO, NOACCESS, READONLY, READONLY
  ADMINISTRATOR, SETUP, NOACCESS, READONLY, FULLACCESS
  MMIUI, UTIL, NOACCESS, READONLY, FULLACCESS
  MANAGEASSETS, ASSET, NOACCESS, READSAVE, FULLACCESS
  WCDESIGNER, UTIL, NOACCESS, READONLY, FULLACCESS
  INVENTORY, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  BUDGET, FINANCIAL, NOACCESS, READONLY, FULLACCESS
  TENANTREG, SETUP, NOACCESS, READONLY, FULLACCESS
  RESLEVEL, PLANS, NOACCESS, READONLY, FULLACCESS
  DBINFO, SETUP, NOACCESS, READONLY, FULLACCESS
  SCHEDDM, SCHEDULER, NOACCESS, NOACCESS, FULLACCESS
  MAP, SETUP, NOACCESS, READONLY, FULLACCESS
  SCHTTMGR, SETUP, NOACCESS, READONLY, FULLACCESS
  PLUSACM, AVIATION, NOACCESS, READSAVE, FULLACCESS
  PLUSANEWAS, ASSET, NOACCESS, READSAVE, FULLACCESS
  PLUSATR, AVIATION, NOACCESS, READSAVE, FULLACCESS
  PLUSAASSET, ASSET, NOACCESS, READSAVE, FULLACCESS
  PLUSAMASPM, PM, NOACCESS, READONLY, FULLACCESS
  PLUSAORG, SETUP, NOACCESS, READONLY, FULLACCESS
  PLUSAPM, PM, NOACCESS, READSAVE, FULLACCESS
  PLUSAWO, WO, NOACCESS, FULLACCESS, FULLACCESS
  PLUSABITMA, AVIATION, NOACCESS, READSAVE, FULLACCESS
  PLUSACAPAB, PURCHASE, NOACCESS, READSAVE, FULLACCESS
  PLUSACMDVL, AVIATION, NOACCESS, READSAVE, FULLACCESS
  PLUSACMSER, AVIATION, NOACCESS, READSAVE, FULLACCESS
  PLUSACOMP, PURCHASE, NOACCESS, READSAVE, FULLACCESS
  PLUSAEVMNG, AVIATION, NOACCESS, READSAVE, FULLACCESS
  PLUSAINV, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  PLUSAINVIS, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  PLUSAITEM, INVENTOR, NOACCESS, READSAVE, FULLACCESS
