IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT LICENSENUM, APPNAME, ACCESSLEVEL, MODULE, MAXPRODID FROM MAXLICAPPS;
  O&G_AUTHORIZED, PLUSGJP, FULLACCESS, PLANS, OILGAS
  O&G_AUTHORIZED, PLUSGAL, FULLACCESS, PLANS, OILGAS
  O&G_AUTHORIZED, PLUSGACT, FULLACCESS, WO, OILGAS
  O&G_AUTHORIZED, PLUSGRFW, FULLACCESS, PLANS, OILGAS
  O&G_AUTHORIZED, PLUSGIMP, FULLACCESS, PLUSGCHG, OILGAS
  O&G_AUTHORIZED, PLUSGBEN, FULLACCESS, PLANS, OILGAS
  O&G_AUTHORIZED, PROBLEM, NOACCESS, SD, OILGAS
  O&G_AUTHORIZED, ACTIVITY, FULLACCESS, WO, MAXIMO
  O&G_AUTHORIZED, ASSET, FULLACCESS, ASSET, MAXIMO
  O&G_AUTHORIZED, PLUSCTMPLT, FULLACCESS, ASSET, MAXIMO
  O&G_AUTHORIZED, WORKMAN, FULLACCESS, WO, MAXIMO
  O&G_AUTHORIZED, AUTOSCRIPT, FULLACCESS, UTIL, MAXIMO
  O&G_AUTHORIZED, COLLECTION, FULLACCESS, CI, MAXIMO
  O&G_AUTHORIZED, COMPANY, FULLACCESS, PURCHASE, MAXIMO
  O&G_AUTHORIZED, COMPMASTER, FULLACCESS, PURCHASE, MAXIMO
  O&G_AUTHORIZED, CONDCODE, FULLACCESS, INVENTOR, MAXIMO
  O&G_AUTHORIZED, COND, FULLACCESS, ASSET, MAXIMO
  O&G_AUTHORIZED, CONDEXPMGR, FULLACCESS, SETUP, MAXIMO
  O&G_AUTHORIZED, FINCNTRL, FULLACCESS, FINANCIAL, MAXIMO
  O&G_AUTHORIZED, CREATEINT, FULLACCESS, INT, MAXIMO
  O&G_AUTHORIZED, CRAFT, FULLACCESS, SETUP, MAXIMO
  O&G_AUTHORIZED, CREATEDR, FULLACCESS, SSDR, MAXIMO
  O&G_AUTHORIZED, CREATESR, FULLACCESS, SSDR, MAXIMO
