IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT GROUPNAME, DESCRIPTION, INDEPENDENT, AUTHALLSITES, AUTHALLGLS, AUTHALLSTOREROOMS, AUTHLABORALL, AUTHLABORCREW, AUTHLABORSELF, AUTHLABORSUPER, AUTHPERSONGROUP, DFLTAPP, WORKCENTER FROM MAXGROUP;
FetchAll:  Columns: 13
  GROUPNAME DESCRIPTION INDEPENDENT AUTHALLSITES AUTHALLGLS AUTHALLSTOREROOMS AUTHLABORALL AUTHLABORCREW AUTHLABORSELF AUTHLABORSUPER AUTHPERSONGROUP DFLTAPP WORKCENTER 
  OOG_MOC_OPENERS, People that open MOCs O&Fs, 0, 1, 0, 0, 0, 0, 0, 0, 0, -, -
  OOG_ASSET_ENGINEER, Asset Engineer Group - Read Only, 0, 1, 1, 0, 1, 0, 0, 0, 0, -, -
  OOG_INSPECTORSUP, Inspector supervisor group OOG, 0, 0, 0, 0, 0, 0, 0, 0, 0, -, -
  OOG_QUALIFIED_PROFESSIONAL, Qualified Professional - SPIE, 0, 0, 1, 0, 1, 0, 0, 0, 0, -, -
  OOG_SUPERVISOR, Grupo de supervisores, 0, 0, 0, 0, 1, 0, 0, 0, 0, -, -
  TUTOR_GROUP, Tutor, 0, 0, 0, 0, 0, 0, 0, 0, 0, -, -
  OOG_REGISTER_HTQ, HTQ Item Registration, 0, 0, 0, 0, 1, 0, 0, 0, 0, -, -
  HTQ_MATERIALS_COORDINATOR, HTQ Materials Coordinator, 0, 0, 1, 0, 0, 0, 0, 0, 0, -, -
  OOG_USERS_HTQ, HTQ Users, 0, 0, 0, 1, 0, 0, 0, 0, 0, -, -
  OOG_MATERIALS_COORDINATOR_YARD, Materials Coordinator Yard, 0, 0, 1, 0, 0, 0, 0, 0, 0, -, -
  OOG_MOC_MACRO, MOC para MACROESTRUTURA, 0, 1, 0, 0, 0, 0, 0, 0, 0, -, -
  OOG_TRANSPORTADOR, Grupo para acessar aplicaoes de transportador, 1, 0, 0, 0, 0, 0, 0, 0, 0, -, -
  OOG_REQUISITANTET, Grupo para acessar aplicaoes de transporte como requisitante, 1, 1, 0, 0, 0, 0, 0, 0, 0, -, -
  OOG_LOGISTICA_ADM, Grupo para Administrar aplicações de Transporte, 1, 1, 0, 0, 0, 0, 0, 0, 0, -, -
  OOG_LOGISTICA, Grupo para acessar aplicações de Transporte, 1, 1, 0, 0, 0, 0, 0, 0, 0, -, -
  OOG_ISOLATION_APPROVER, Isolation Approver, 0, 0, 0, 0, 0, 0, 0, 0, 0, -, -
  OOG_DEPARTMENT_TEAM, Department Team, 0, 0, 0, 0, 1, 0, 0, 0, 0, -, -
  OOG_ISOLATION_MANAGER, Isolation Manager, 0, 0, 0, 0, 0, 0, 0, 0, 0, -, -
  OOG_SQP_QUALITY, SQP Quality Department, 0, 0, 0, 0, 0, 0, 0, 0, 0, -, -
  OOG_SQP_OPENERS, SQP Openers, 0, 0, 0, 0, 0, 0, 0, 0, 0, -, -
  OOG_RIGSUPSQP, Rig Superintendent SQP, 0, 0, 0, 0, 0, 0, 0, 0, 0, -, -
  OOG_APPUSERS, Grupo para permitir acesso a aplicação Users, 0, 1, 0, 0, 0, 0, 0, 0, 0, -, -
  OOG_PTW_ADMIN, Permit To Work Admin, 0, 1, 0, 0, 0, 0, 0, 0, 0, -, -
  OOG_PTW_ISSUER, Permit to Work Issuer, 0, 1, 0, 0, 0, 0, 0, 0, 0, -, -
  OOG_PTW_APPROVERS, Permit to Work Approvers, 0, 1, 0, 0, 0, 0, 0, 0, 0, -, -
  MGUEST, Guest Group, 0, 1, 0, 0, 0, 0, 0, 0, 0, SELFSERVICE, -
  OOG_MACRO_ACTIONS, Atualizacao de acoes em  MACROESTRUTURA, 0, 1, 0, 0, 0, 0, 0, 0, 0, -, -
  MOBILE, Security Group for Mobile, 0, 0, 0, 0, 0, 0, 0, 0, 0, -, -
  Inv_ready, Inventory Read Only, 0, 0, 0, 0, 0, 0, 0, 0, 0, -, -
  OOG_RELIABILITY_TEAM, Reliability Team, 0, 0, 0, 0, 0, 0, 0, 0, 0, -, -
  OOG_AB_SST, Grupo de segurança para acesso a aplicação Alert & Bulletins SST, 0, 0, 0, 0, 0, 0, 0, 0, 0, -, -
FetchAll: 74 rows fetched.
> 
