ENVIRONMENT,LICENSENUM,APPNAME,ACCESSLEVEL,MODULE,MAXPRODID
HTQ,O&G_AUTHORIZED,VIEWDRFT,FULLACCESS,SSDR,MAXIMO
HTQ,O&G_AUTHORIZED,VIEWDR,FULLACCESS,SSDR,MAXIMO
HTQ,O&G_AUTHORIZED,VIEWSR,FULLACCESS,SSDR,MAXIMO
HTQ,O&G_AUTHORIZED,VIEWTMPL,FULLACCESS,SSDR,MAXIMO
HTQ,O&G_AUTHORIZED,CONTWARRTY,FULLACCESS,CONTRACT,MAXIMO
HTQ,O&G_AUTHORIZED,WSREGISTRY,FULLACCESS,INT,MAXIMO
HTQ,O&G_AUTHORIZED,WOTRACK,FULLACCESS,WO,MAXIMO
HTQ,O&G_AUTHORIZED,AMCREW,FULLACCESS,SETUP,MAXIMO
HTQ,O&G_AUTHORIZED,AMCREWT,FULLACCESS,SETUP,MAXIMO
HTQ,O&G_AUTHORIZED,SEARCHSOL,FULLACCESS,SSDR,MAXIMO
HTQ,O&G_AUTHORIZED,SOLUTION,FULLACCESS,SD,MAXIMO
HTQ,O&G_AUTHORIZED,CI,FULLACCESS,CI,MAXIMO
HTQ,O&G_AUTHORIZED,JSONRES,FULLACCESS,INT,MAXIMO
HTQ,O&G_AUTHORIZED,BIMPROJECT,FULLACCESS,-,MAXIMO
HTQ,O&G_AUTHORIZED,PRODUCT,FULLACCESS,-,MAXIMO
HTQ,O&G_AUTHORIZED,DESIGNSPEC,FULLACCESS,-,MAXIMO
HTQ,O&G_AUTHORIZED,BIMMODELS,FULLACCESS,-,MAXIMO
HTQ,O&G_AUTHORIZED,LICTRACK,FULLACCESS,SETUP,MAXIMO
HTQ,O&G_AUTHORIZED,MFMAILCFG,FULLACCESS,UTIL,MAXIMO
HTQ,O&G_AUTHORIZED,ACTION,FULLACCESS,UTIL,MAXIMO
HTQ,O&G_AUTHORIZED,DESIGNER,FULLACCESS,UTIL,MAXIMO
HTQ,O&G_AUTHORIZED,BBOARD,FULLACCESS,SETUP,MAXIMO
HTQ,O&G_AUTHORIZED,CALENDR,FULLACCESS,SETUP,MAXIMO
HTQ,O&G_AUTHORIZED,CHANGEPSWD,FULLACCESS,-,MAXIMO
HTQ,O&G_AUTHORIZED,CHRTACCT,FULLACCESS,FINANCIAL,MAXIMO
HTQ,O&G_AUTHORIZED,CITYPE,FULLACCESS,SETUP,MAXIMO
HTQ,O&G_AUTHORIZED,ASSETCAT,FULLACCESS,SETUP,MAXIMO
HTQ,O&G_AUTHORIZED,COGNOSHOME,FULLACCESS,ANALYTICS,MAXIMO
HTQ,O&G_AUTHORIZED,COMMTMPLT,FULLACCESS,UTIL,MAXIMO
HTQ,O&G_AUTHORIZED,CRONTASK,FULLACCESS,UTIL,MAXIMO
HTQ,O&G_AUTHORIZED,CURRENCY,FULLACCESS,FINANCIAL,MAXIMO
HTQ,O&G_AUTHORIZED,CONFIGUR,FULLACCESS,UTIL,MAXIMO
HTQ,O&G_AUTHORIZED,DOMAINADM,FULLACCESS,UTIL,MAXIMO
HTQ,O&G_AUTHORIZED,EMAILSTNER,FULLACCESS,UTIL,MAXIMO
HTQ,O&G_AUTHORIZED,ESCALATION,FULLACCESS,UTIL,MAXIMO
HTQ,O&G_AUTHORIZED,EXCHANGE,FULLACCESS,FINANCIAL,MAXIMO
HTQ,O&G_AUTHORIZED,FACONFIG,FULLACCESS,-,MAXIMO
HTQ,O&G_AUTHORIZED,FORGOTPSWD,FULLACCESS,-,MAXIMO
HTQ,O&G_AUTHORIZED,INBXCONFIG,FULLACCESS,-,MAXIMO
HTQ,O&G_AUTHORIZED,INVISSUE,FULLACCESS,INVENTOR,MAXIMO
HTQ,O&G_AUTHORIZED,KPIGCONFIG,FULLACCESS,-,MAXIMO
HTQ,O&G_AUTHORIZED,KPILCONFIG,FULLACCESS,-,MAXIMO
HTQ,O&G_AUTHORIZED,KPI,FULLACCESS,SETUP,MAXIMO
HTQ,O&G_AUTHORIZED,KPITPL,FULLACCESS,SETUP,MAXIMO
HTQ,O&G_AUTHORIZED,KPIVIEWER,FULLACCESS,ANALYTICS,MAXIMO
HTQ,O&G_AUTHORIZED,SCCONFIG,FULLACCESS,-,MAXIMO
HTQ,O&G_AUTHORIZED,LOGGING,FULLACCESS,UTIL,MAXIMO
HTQ,O&G_AUTHORIZED,INTOBJECT,FULLACCESS,INT,MAXIMO
HTQ,O&G_AUTHORIZED,MULTISITE,FULLACCESS,SETUP,MAXIMO
HTQ,O&G_AUTHORIZED,PERSON,FULLACCESS,SETUP,MAXIMO
HTQ,O&G_AUTHORIZED,PERSONGR,FULLACCESS,SETUP,MAXIMO
HTQ,O&G_AUTHORIZED,ACTIONSCFG,FULLACCESS,-,MAXIMO
HTQ,O&G_AUTHORIZED,RLADMIN,FULLACCESS,SETUP,MAXIMO
HTQ,O&G_AUTHORIZED,REPORT,FULLACCESS,SETUP,MAXIMO
HTQ,O&G_AUTHORIZED,REPLISTCFG,FULLACCESS,-,MAXIMO
HTQ,O&G_AUTHORIZED,RSCONFIG,FULLACCESS,-,MAXIMO
HTQ,O&G_AUTHORIZED,ROLE,FULLACCESS,UTIL,MAXIMO
HTQ,O&G_AUTHORIZED,SECURGROUP,FULLACCESS,SECURITY,MAXIMO
HTQ,O&G_AUTHORIZED,SR,FULLACCESS,SD,MAXIMO
HTQ,O&G_AUTHORIZED,SETS,FULLACCESS,SETUP,MAXIMO
HTQ,O&G_AUTHORIZED,STARTCNTR,FULLACCESS,-,MAXIMO
HTQ,O&G_AUTHORIZED,PROPMAINT,FULLACCESS,UTIL,MAXIMO
HTQ,O&G_AUTHORIZED,SELFREG,FULLACCESS,-,MAXIMO
HTQ,O&G_AUTHORIZED,USER,FULLACCESS,SECURITY,MAXIMO
HTQ,O&G_AUTHORIZED,WORKVIEW,FULLACCESS,SETUP,MAXIMO
HTQ,O&G_AUTHORIZED,WFADMIN,FULLACCESS,UTIL,MAXIMO
HTQ,O&G_AUTHORIZED,WFDESIGN,FULLACCESS,UTIL,MAXIMO
HTQ,O&G_AUTHORIZED,SRVAD,FULLACCESS,SETUP,MAXIMO
HTQ,O&G_AUTHORIZED,MPMAN,FULLACCESS,SETUP,MAXIMO
HTQ,O&G_AUTHORIZED,TECHTABLET,FULLACCESS,WO,MAXIMO
HTQ,O&G_AUTHORIZED,TECHPHONE,FULLACCESS,WO,MAXIMO
HTQ,O&G_AUTHORIZED,TECHLITE,FULLACCESS,WO,MAXIMO
HTQ,O&G_AUTHORIZED,SCHSUPER,FULLACCESS,WO,MAXIMO
HTQ,O&G_AUTHORIZED,OSLCPROV,FULLACCESS,INT,MAXIMO
HTQ,O&G_AUTHORIZED,OSLCRES,FULLACCESS,INT,MAXIMO
HTQ,OCY_EXPRESSCUR,CREATESR,FULLACCESS,SSDR,MAXIMO
HTQ,OCY_EXPRESSCUR,ENDPOINT,READONLY,INT,MAXIMO
HTQ,OCY_EXPRESSCUR,INTSRV,READONLY,INT,MAXIMO
HTQ,OCY_EXPRESSCUR,EXTSYSTEM,READONLY,INT,MAXIMO
HTQ,OCY_EXPRESSCUR,FAILURE,READONLY,ASSET,MAXIMO
HTQ,OCY_EXPRESSCUR,HAZARDS,READONLY,PLANS,MAXIMO
HTQ,OCY_EXPRESSCUR,IM,READONLY,INT,MAXIMO
HTQ,OCY_EXPRESSCUR,INVENTOR,READSAVE,INVENTOR,MAXIMO
HTQ,OCY_EXPRESSCUR,INVUSAGE,READSAVE,INVENTOR,MAXIMO
HTQ,OCY_EXPRESSCUR,INVOKE,READONLY,INT,MAXIMO
HTQ,OCY_EXPRESSCUR,INVOICE,READSAVE,PURCHASE,MAXIMO
HTQ,OCY_EXPRESSCUR,ITEM,READSAVE,INVENTOR,MAXIMO
HTQ,OCY_EXPRESSCUR,JOBPLAN,READSAVE,PLANS,MAXIMO
HTQ,OCY_EXPRESSCUR,LABOR,READSAVE,SETUP,MAXIMO
HTQ,OCY_EXPRESSCUR,CONTLABOR,READSAVE,CONTRACT,MAXIMO
HTQ,OCY_EXPRESSCUR,LABREP,FULLACCESS,WO,MAXIMO
HTQ,OCY_EXPRESSCUR,LAUNCH,READONLY,INT,MAXIMO
HTQ,OCY_EXPRESSCUR,CONTLEASE,READSAVE,CONTRACT,MAXIMO
HTQ,OCY_EXPRESSCUR,LOCATION,READSAVE,ASSET,MAXIMO
HTQ,OCY_EXPRESSCUR,TAGLOCKS,READONLY,PLANS,MAXIMO
HTQ,OCY_EXPRESSCUR,LMO,READONLY,INT,MAXIMO
HTQ,OCY_EXPRESSCUR,MANAGEINT,READONLY,INT,MAXIMO
HTQ,OCY_EXPRESSCUR,CONTMASTER,READSAVE,CONTRACT,MAXIMO
HTQ,OCY_EXPRESSCUR,MASTERPM,READONLY,PM,MAXIMO
HTQ,OCY_EXPRESSCUR,INTERROR,READONLY,INT,MAXIMO
HTQ,OCY_EXPRESSCUR,INTMSGTRK,READONLY,INT,MAXIMO
HTQ,OCY_EXPRESSCUR,METERGRP,READONLY,ASSET,MAXIMO
HTQ,OCY_EXPRESSCUR,METER,READONLY,ASSET,MAXIMO
HTQ,OCY_EXPRESSCUR,DEPLGROUPS,READONLY,UTIL,MAXIMO
HTQ,OCY_EXPRESSCUR,DM,READONLY,UTIL,MAXIMO
HTQ,OCY_EXPRESSCUR,DEPLCOLLS,READONLY,UTIL,MAXIMO
HTQ,OCY_EXPRESSCUR,PRECAUTN,READONLY,PLANS,MAXIMO
HTQ,OCY_EXPRESSCUR,PM,READSAVE,PM,MAXIMO
HTQ,OCY_EXPRESSCUR,PUBLISH,READONLY,INT,MAXIMO
HTQ,OCY_EXPRESSCUR,CONTPURCH,READSAVE,CONTRACT,MAXIMO
HTQ,OCY_EXPRESSCUR,PO,READSAVE,PURCHASE,MAXIMO
HTQ,OCY_EXPRESSCUR,PR,READSAVE,PURCHASE,MAXIMO
HTQ,OCY_EXPRESSCUR,QUAL,READSAVE,SETUP,MAXIMO
HTQ,OCY_EXPRESSCUR,QUICKREP,FULLACCESS,WO,MAXIMO
HTQ,OCY_EXPRESSCUR,RECEIPTS,READONLY,PURCHASE,MAXIMO
HTQ,OCY_EXPRESSCUR,RELATION,READONLY,ASSET,MAXIMO
HTQ,OCY_EXPRESSCUR,RPTOUTPUT,FULLACCESS,ANALYTICS,MAXIMO
HTQ,OCY_EXPRESSCUR,RFQ,READSAVE,PURCHASE,MAXIMO
HTQ,OCY_EXPRESSCUR,ROUTES,READONLY,PLANS,MAXIMO
HTQ,OCY_EXPRESSCUR,SAFEPLAN,READONLY,PLANS,MAXIMO
HTQ,OCY_EXPRESSCUR,ECOMMADAPT,FULLACCESS,-,MAXIMO
HTQ,OCY_EXPRESSCUR,SRVCOMMOD,READONLY,SLA,MAXIMO
HTQ,OCY_EXPRESSCUR,SRVITEM,READSAVE,INVENTOR,MAXIMO
HTQ,OCY_EXPRESSCUR,SLA,READSAVE,SLA,MAXIMO
HTQ,OCY_EXPRESSCUR,SHIPREC,READONLY,INVENTOR,MAXIMO
HTQ,OCY_EXPRESSCUR,TOOLINV,READSAVE,INVENTOR,MAXIMO
HTQ,OCY_EXPRESSCUR,STOREROOM,READONLY,INVENTOR,MAXIMO
HTQ,OCY_EXPRESSCUR,TERMCOND,READONLY,PURCHASE,MAXIMO
HTQ,OCY_EXPRESSCUR,TKTEMPLATE,READSAVE,SD,MAXIMO
HTQ,OCY_EXPRESSCUR,TOOL,READSAVE,INVENTOR,MAXIMO
HTQ,OCY_EXPRESSCUR,VIEWDRFT,FULLACCESS,SSDR,MAXIMO
HTQ,OCY_EXPRESSCUR,VIEWDR,FULLACCESS,SSDR,MAXIMO
HTQ,OCY_EXPRESSCUR,VIEWSR,FULLACCESS,SSDR,MAXIMO
HTQ,OCY_EXPRESSCUR,VIEWTMPL,FULLACCESS,SSDR,MAXIMO
HTQ,OCY_EXPRESSCUR,CONTWARRTY,READSAVE,CONTRACT,MAXIMO
HTQ,OCY_EXPRESSCUR,WSREGISTRY,READONLY,INT,MAXIMO
HTQ,OCY_EXPRESSCUR,WOTRACK,FULLACCESS,WO,MAXIMO
HTQ,OCY_EXPRESSCUR,AMCREW,READONLY,SETUP,MAXIMO
HTQ,OCY_EXPRESSCUR,AMCREWT,READONLY,SETUP,MAXIMO
HTQ,OCY_EXPRESSCUR,SEARCHSOL,FULLACCESS,SSDR,MAXIMO
HTQ,OCY_EXPRESSCUR,SOLUTION,READSAVE,SD,MAXIMO
HTQ,OCY_EXPRESSCUR,CI,READONLY,CI,MAXIMO
HTQ,OCY_EXPRESSCUR,JSONRES,READONLY,INT,MAXIMO
HTQ,OCY_EXPRESSCUR,BIMPROJECT,READONLY,-,MAXIMO
HTQ,OCY_EXPRESSCUR,PRODUCT,READONLY,-,MAXIMO
HTQ,OCY_EXPRESSCUR,DESIGNSPEC,READONLY,-,MAXIMO
HTQ,OCY_EXPRESSCUR,BIMMODELS,READONLY,-,MAXIMO
HTQ,OCY_EXPRESSCUR,LICTRACK,READONLY,SETUP,MAXIMO
HTQ,OCY_EXPRESSCUR,MFMAILCFG,READONLY,UTIL,MAXIMO
HTQ,OCY_EXPRESSCUR,ACTION,READONLY,UTIL,MAXIMO
HTQ,OCY_EXPRESSCUR,DESIGNER,READONLY,UTIL,MAXIMO
HTQ,OCY_EXPRESSCUR,BBOARD,FULLACCESS,SETUP,MAXIMO
HTQ,OCY_EXPRESSCUR,CALENDR,READONLY,SETUP,MAXIMO
HTQ,OCY_EXPRESSCUR,CHANGEPSWD,FULLACCESS,-,MAXIMO
HTQ,OCY_EXPRESSCUR,CHRTACCT,READONLY,FINANCIAL,MAXIMO
HTQ,OCY_EXPRESSCUR,CITYPE,READSAVE,SETUP,MAXIMO
HTQ,OCY_EXPRESSCUR,ASSETCAT,READONLY,SETUP,MAXIMO
HTQ,OCY_EXPRESSCUR,COGNOSHOME,READONLY,ANALYTICS,MAXIMO
HTQ,OCY_EXPRESSCUR,COMMTMPLT,READONLY,UTIL,MAXIMO
HTQ,OCY_EXPRESSCUR,CRONTASK,READONLY,UTIL,MAXIMO
HTQ,OCY_EXPRESSCUR,CURRENCY,READONLY,FINANCIAL,MAXIMO
HTQ,OCY_EXPRESSCUR,CONFIGUR,READONLY,UTIL,MAXIMO
HTQ,OCY_EXPRESSCUR,DOMAINADM,READONLY,UTIL,MAXIMO
HTQ,OCY_EXPRESSCUR,EMAILSTNER,READONLY,UTIL,MAXIMO
HTQ,OCY_EXPRESSCUR,ESCALATION,READONLY,UTIL,MAXIMO
HTQ,OCY_EXPRESSCUR,EXCHANGE,READONLY,FINANCIAL,MAXIMO
HTQ,OCY_EXPRESSCUR,FACONFIG,FULLACCESS,-,MAXIMO
HTQ,OCY_EXPRESSCUR,FORGOTPSWD,FULLACCESS,-,MAXIMO
HTQ,OCY_EXPRESSCUR,INBXCONFIG,FULLACCESS,-,MAXIMO
HTQ,OCY_EXPRESSCUR,INVISSUE,READSAVE,INVENTOR,MAXIMO
HTQ,OCY_EXPRESSCUR,KPIGCONFIG,FULLACCESS,-,MAXIMO
HTQ,OCY_EXPRESSCUR,KPILCONFIG,FULLACCESS,-,MAXIMO
HTQ,OCY_EXPRESSCUR,KPI,READONLY,SETUP,MAXIMO
HTQ,OCY_EXPRESSCUR,KPITPL,READONLY,SETUP,MAXIMO
HTQ,OCY_EXPRESSCUR,KPIVIEWER,FULLACCESS,ANALYTICS,MAXIMO
HTQ,OCY_EXPRESSCUR,SCCONFIG,FULLACCESS,-,MAXIMO
HTQ,OCY_EXPRESSCUR,LOGGING,READONLY,UTIL,MAXIMO
HTQ,OCY_EXPRESSCUR,INTOBJECT,READONLY,INT,MAXIMO
HTQ,OCY_EXPRESSCUR,MULTISITE,READONLY,SETUP,MAXIMO
HTQ,OCY_EXPRESSCUR,PERSON,READSAVE,SETUP,MAXIMO
HTQ,O&G_AUTHORIZED,OOG_ALERT,FULLACCESS,PLUSGSD,OILGAS
HTQ,O&G_AUTHORIZED,OOG_AMREAD,FULLACCESS,ASSET,OILGAS
HTQ,O&G_AUTHORIZED,OOG_CMISS,FULLACCESS,PURCHASE,OILGAS
HTQ,O&G_AUTHORIZED,OOG_CMRCV,FULLACCESS,PURCHASE,OILGAS
HTQ,O&G_AUTHORIZED,OOG_COMPSH,FULLACCESS,ASSET,OILGAS
HTQ,O&G_AUTHORIZED,OOG_DEPART,FULLACCESS,SETUP,OILGAS
HTQ,O&G_LIMITED,PLUSGINV,READSAVE,PLUSGSD,OILGAS
HTQ,O&G_LIMITED,PLUSGCFW,READSAVE,PLANS,OILGAS
HTQ,O&G_LIMITED,RELEASE,NOACCESS,RELEASE,OILGAS
HTQ,O&G_LIMITED,CHANGE,NOACCESS,CHANGE,OILGAS
HTQ,O&G_LIMITED,PLUSGVWINC,FULLACCESS,SSDR,OILGAS
HTQ,O&G_LIMITED,PLUSGTKTMP,READSAVE,PLUSGSD,OILGAS
HTQ,O&G_LIMITED,PLUSGLPROF,READSAVE,ASSET,OILGAS
HTQ,O&G_LIMITED,PLUSGPREC,READONLY,PLANS,OILGAS
HTQ,O&G_LIMITED,PLUSGQUAL,READSAVE,SETUP,OILGAS
HTQ,O&G_LIMITED,PLUSGOPTSK,FULLACCESS,PLUSGOP,OILGAS
HTQ,O&G_LIMITED,PLUSGPROC,READSAVE,PLUSGOP,OILGAS
HTQ,O&G_LIMITED,PLUSGHAZ,READONLY,PLANS,OILGAS
HTQ,O&G_LIMITED,PLUSGRSK,READSAVE,PLANS,OILGAS
HTQ,O&G_LIMITED,PLUSGCON,READSAVE,PLANS,OILGAS
HTQ,O&G_LIMITED,PLUSGSOL,FULLACCESS,PLUSGSD,OILGAS
HTQ,O&G_LIMITED,PLUSGPRS,READSAVE,SETUP,OILGAS
HTQ,O&G_LIMITED,PLUSGLOC,READSAVE,ASSET,OILGAS
HTQ,O&G_LIMITED,PLUSGASS,READSAVE,ASSET,OILGAS
HTQ,O&G_LIMITED,PLUSGMCR,READSAVE,PLUSGCHG,OILGAS
HTQ,O&G_LIMITED,PLUSGCRINC,FULLACCESS,SSDR,OILGAS
HTQ,O&G_LIMITED,PLUSGISO,READSAVE,PLANS,OILGAS
HTQ,O&G_LIMITED,PLUSGBYP,READSAVE,PLUSGOP,OILGAS
HTQ,O&G_LIMITED,PLUSGAUDIT,READSAVE,PLUSGSD,OILGAS
HTQ,O&G_LIMITED,PLUSGPTW,READSAVE,PLANS,OILGAS
HTQ,O&G_LIMITED,PLUSGPO,READSAVE,PURCHASE,OILGAS
HTQ,O&G_LIMITED,PLUSGRLOG,READSAVE,PLUSGOP,OILGAS
HTQ,O&G_LIMITED,PLUSGDRL,READSAVE,WO,OILGAS
HTQ,O&G_LIMITED,PLUSGSTAG,READSAVE,PLANS,OILGAS
HTQ,O&G_LIMITED,PLUSGLOG,READSAVE,PLUSGOP,OILGAS
HTQ,O&G_LIMITED,PLUSGWO,FULLACCESS,WO,OILGAS
HTQ,O&G_LIMITED,PLUSGQRP,FULLACCESS,WO,OILGAS
HTQ,O&G_LIMITED,PLUSGORG,READONLY,SETUP,OILGAS
HTQ,O&G_LIMITED,PLUSGINC,READSAVE,PLUSGSD,OILGAS
HTQ,O&G_LIMITED,PLUSGMOC,READSAVE,PLUSGCHG,OILGAS
HTQ,O&G_LIMITED,PLUSGREG,READSAVE,PLANS,OILGAS
HTQ,O&G_LIMITED,PLUSGDEF,READSAVE,PLUSGSD,OILGAS
HTQ,O&G_LIMITED,INCIDENT,NOACCESS,SD,OILGAS
HTQ,O&G_LIMITED,PLUSGOPACT,READSAVE,PLUSGOP,OILGAS
HTQ,O&G_LIMITED,PLUSGLOGBK,READSAVE,PLUSGOP,OILGAS
HTQ,O&G_LIMITED,PLUSGCERT,READSAVE,PLUSGSD,OILGAS
HTQ,O&G_LIMITED,PLUSGTGLCK,READONLY,PLANS,OILGAS
HTQ,O&G_LIMITED,PLUSGPR,READSAVE,PURCHASE,OILGAS
HTQ,O&G_LIMITED,PLUSGITEM,READSAVE,INVENTOR,OILGAS
HTQ,O&G_LIMITED,PLUSGPOL,READSAVE,PLUSGOP,OILGAS
HTQ,O&G_LIMITED,PLUSGSR,READSAVE,PLUSGSD,OILGAS
HTQ,O&G_LIMITED,PLUSGPCT,READSAVE,PLANS,OILGAS
HTQ,O&G_LIMITED,PLUSGSTA,READSAVE,PLANS,OILGAS
HTQ,O&G_LIMITED,PLUSGROU,READONLY,PLANS,OILGAS
HTQ,O&G_LIMITED,PLUSGPM,READSAVE,PM,OILGAS
HTQ,O&G_LIMITED,PLUSGJP,READSAVE,PLANS,OILGAS
HTQ,O&G_LIMITED,PLUSGAL,READONLY,PLANS,OILGAS
HTQ,O&G_LIMITED,PLUSGACT,READSAVE,WO,OILGAS
HTQ,O&G_LIMITED,PLUSGRFW,READSAVE,PLANS,OILGAS
HTQ,O&G_LIMITED,PLUSGIMP,READSAVE,PLUSGCHG,OILGAS
HTQ,O&G_LIMITED,PLUSGBEN,READSAVE,PLANS,OILGAS
HTQ,O&G_LIMITED,PROBLEM,NOACCESS,SD,OILGAS
HTQ,O&G_LIMITED,ACTIVITY,FULLACCESS,WO,MAXIMO
HTQ,O&G_LIMITED,ASSET,READSAVE,ASSET,MAXIMO
HTQ,O&G_LIMITED,PLUSCTMPLT,READSAVE,ASSET,MAXIMO
HTQ,O&G_LIMITED,WORKMAN,READONLY,WO,MAXIMO
HTQ,O&G_LIMITED,AUTOSCRIPT,READONLY,UTIL,MAXIMO
HTQ,O&G_LIMITED,COLLECTION,READONLY,CI,MAXIMO
HTQ,O&G_LIMITED,COMPANY,READONLY,PURCHASE,MAXIMO
HTQ,O&G_LIMITED,COMPMASTER,READONLY,PURCHASE,MAXIMO
HTQ,O&G_LIMITED,CONDCODE,READSAVE,INVENTOR,MAXIMO
HTQ,O&G_LIMITED,COND,READONLY,ASSET,MAXIMO
HTQ,O&G_LIMITED,CONDEXPMGR,READSAVE,SETUP,MAXIMO
HTQ,O&G_LIMITED,FINCNTRL,READONLY,FINANCIAL,MAXIMO
HTQ,O&G_LIMITED,CREATEINT,READONLY,INT,MAXIMO
HTQ,O&G_LIMITED,CRAFT,READONLY,SETUP,MAXIMO
HTQ,O&G_LIMITED,CREATEDR,FULLACCESS,SSDR,MAXIMO
HTQ,O&G_LIMITED,CREATESR,FULLACCESS,SSDR,MAXIMO
HTQ,O&G_LIMITED,ENDPOINT,READONLY,INT,MAXIMO
HTQ,O&G_LIMITED,INTSRV,READONLY,INT,MAXIMO
HTQ,O&G_LIMITED,EXTSYSTEM,READONLY,INT,MAXIMO
HTQ,O&G_LIMITED,FAILURE,READONLY,ASSET,MAXIMO
HTQ,O&G_LIMITED,HAZARDS,READONLY,PLANS,MAXIMO
HTQ,O&G_LIMITED,IM,READONLY,INT,MAXIMO
HTQ,O&G_LIMITED,INVENTOR,READSAVE,INVENTOR,MAXIMO
HTQ,O&G_LIMITED,INVUSAGE,READSAVE,INVENTOR,MAXIMO
HTQ,O&G_LIMITED,INVOKE,READONLY,INT,MAXIMO
HTQ,O&G_LIMITED,INVOICE,READSAVE,PURCHASE,MAXIMO
HTQ,O&G_LIMITED,ITEM,READSAVE,INVENTOR,MAXIMO
HTQ,O&G_LIMITED,JOBPLAN,READSAVE,PLANS,MAXIMO
HTQ,O&G_LIMITED,LABOR,READSAVE,SETUP,MAXIMO
HTQ,O&G_LIMITED,CONTLABOR,READSAVE,CONTRACT,MAXIMO
HTQ,O&G_LIMITED,LABREP,FULLACCESS,WO,MAXIMO
HTQ,O&G_LIMITED,LAUNCH,READONLY,INT,MAXIMO
HTQ,O&G_LIMITED,CONTLEASE,READSAVE,CONTRACT,MAXIMO
HTQ,O&G_LIMITED,LOCATION,READSAVE,ASSET,MAXIMO
HTQ,O&G_LIMITED,TAGLOCKS,READONLY,PLANS,MAXIMO
HTQ,O&G_LIMITED,LMO,READONLY,INT,MAXIMO
HTQ,O&G_LIMITED,MANAGEINT,READONLY,INT,MAXIMO
HTQ,O&G_LIMITED,CONTMASTER,READSAVE,CONTRACT,MAXIMO
HTQ,O&G_LIMITED,MASTERPM,READONLY,PM,MAXIMO
HTQ,O&G_LIMITED,INTERROR,READONLY,INT,MAXIMO
HTQ,O&G_LIMITED,INTMSGTRK,READONLY,INT,MAXIMO
HTQ,O&G_LIMITED,METERGRP,READONLY,ASSET,MAXIMO
HTQ,O&G_LIMITED,METER,READONLY,ASSET,MAXIMO
HTQ,O&G_LIMITED,DEPLGROUPS,READONLY,UTIL,MAXIMO
HTQ,O&G_LIMITED,DM,READONLY,UTIL,MAXIMO
HTQ,O&G_LIMITED,DEPLCOLLS,READONLY,UTIL,MAXIMO
HTQ,O&G_LIMITED,PRECAUTN,READONLY,PLANS,MAXIMO
HTQ,O&G_LIMITED,PM,READSAVE,PM,MAXIMO
HTQ,O&G_LIMITED,PUBLISH,READONLY,INT,MAXIMO
HTQ,O&G_LIMITED,CONTPURCH,READSAVE,CONTRACT,MAXIMO
HTQ,O&G_LIMITED,PO,READSAVE,PURCHASE,MAXIMO
HTQ,O&G_LIMITED,PR,READSAVE,PURCHASE,MAXIMO
HTQ,O&G_AUTHORIZED,PLUSGINV,FULLACCESS,PLUSGSD,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGCFW,FULLACCESS,PLANS,OILGAS
HTQ,O&G_AUTHORIZED,RELEASE,NOACCESS,RELEASE,OILGAS
HTQ,O&G_AUTHORIZED,CHANGE,NOACCESS,CHANGE,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGVWINC,FULLACCESS,SSDR,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGTKTMP,FULLACCESS,PLUSGSD,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGLPROF,FULLACCESS,ASSET,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGPREC,FULLACCESS,PLANS,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGQUAL,FULLACCESS,SETUP,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGOPTSK,FULLACCESS,PLUSGOP,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGPROC,FULLACCESS,PLUSGOP,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGHAZ,FULLACCESS,PLANS,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGRSK,FULLACCESS,PLANS,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGCON,FULLACCESS,PLANS,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGSOL,FULLACCESS,PLUSGSD,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGPRS,FULLACCESS,SETUP,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGLOC,FULLACCESS,ASSET,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGASS,FULLACCESS,ASSET,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGMCR,FULLACCESS,PLUSGCHG,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGCRINC,FULLACCESS,SSDR,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGISO,FULLACCESS,PLANS,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGBYP,FULLACCESS,PLUSGOP,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGAUDIT,FULLACCESS,PLUSGSD,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGPTW,FULLACCESS,PLANS,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGPO,FULLACCESS,PURCHASE,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGRLOG,FULLACCESS,PLUSGOP,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGDRL,FULLACCESS,WO,OILGAS
HTQ,O&G_AUTHORIZED,PLUSGSTAG,FULLACCESS,PLANS,OILGAS
