ENVIRONMENT,LICENSENUM,APPNAME,ACCESSLEVEL,MODULE,MAXPRODID
BASE,O&G_LIMITED,SRVITEM,READSAVE,INVENTOR,MAXIMO
BASE,O&G_LIMITED,SLA,READSAVE,SLA,MAXIMO
BASE,O&G_LIMITED,SHIPREC,READONLY,INVENTOR,MAXIMO
BASE,O&G_LIMITED,TOOLINV,READSAVE,INVENTOR,MAXIMO
BASE,O&G_LIMITED,STOREROOM,READONLY,INVENTOR,MAXIMO
BASE,O&G_LIMITED,TERMCOND,READONLY,PURCHASE,MAXIMO
BASE,O&G_LIMITED,TKTEMPLATE,READSAVE,SD,MAXIMO
BASE,O&G_LIMITED,TOOL,READSAVE,INVENTOR,MAXIMO
BASE,O&G_LIMITED,VIEWDRFT,FULLACCESS,SSDR,MAXIMO
BASE,O&G_LIMITED,VIEWDR,FULLACCESS,SSDR,MAXIMO
BASE,O&G_LIMITED,VIEWSR,FULLACCESS,SSDR,MAXIMO
BASE,O&G_LIMITED,VIEWTMPL,FULLACCESS,SSDR,MAXIMO
BASE,O&G_LIMITED,CONTWARRTY,READSAVE,CONTRACT,MAXIMO
BASE,O&G_LIMITED,WSREGISTRY,READONLY,INT,MAXIMO
BASE,O&G_LIMITED,WOTRACK,FULLACCESS,WO,MAXIMO
BASE,O&G_LIMITED,AMCREW,READONLY,SETUP,MAXIMO
BASE,O&G_LIMITED,AMCREWT,READONLY,SETUP,MAXIMO
BASE,O&G_LIMITED,SEARCHSOL,FULLACCESS,SSDR,MAXIMO
BASE,O&G_LIMITED,SOLUTION,READSAVE,SD,MAXIMO
BASE,O&G_LIMITED,CI,READONLY,CI,MAXIMO
BASE,O&G_LIMITED,JSONRES,READONLY,INT,MAXIMO
BASE,O&G_LIMITED,BIMPROJECT,READONLY,-,MAXIMO
BASE,O&G_LIMITED,PRODUCT,READONLY,-,MAXIMO
BASE,O&G_LIMITED,DESIGNSPEC,READONLY,-,MAXIMO
BASE,O&G_LIMITED,BIMMODELS,READONLY,-,MAXIMO
BASE,O&G_LIMITED,LICTRACK,READONLY,SETUP,MAXIMO
BASE,O&G_LIMITED,MFMAILCFG,READONLY,UTIL,MAXIMO
BASE,O&G_LIMITED,ACTION,READONLY,UTIL,MAXIMO
BASE,O&G_LIMITED,DESIGNER,READONLY,UTIL,MAXIMO
BASE,O&G_LIMITED,BBOARD,FULLACCESS,SETUP,MAXIMO
BASE,O&G_LIMITED,CALENDR,READONLY,SETUP,MAXIMO
BASE,O&G_LIMITED,CHANGEPSWD,FULLACCESS,-,MAXIMO
BASE,O&G_LIMITED,CHRTACCT,READONLY,FINANCIAL,MAXIMO
BASE,O&G_LIMITED,CITYPE,READSAVE,SETUP,MAXIMO
BASE,O&G_LIMITED,ASSETCAT,READONLY,SETUP,MAXIMO
BASE,O&G_LIMITED,COGNOSHOME,READONLY,ANALYTICS,MAXIMO
BASE,O&G_LIMITED,COMMTMPLT,READONLY,UTIL,MAXIMO
BASE,O&G_LIMITED,CRONTASK,READONLY,UTIL,MAXIMO
BASE,O&G_LIMITED,CURRENCY,READONLY,FINANCIAL,MAXIMO
BASE,O&G_LIMITED,CONFIGUR,READONLY,UTIL,MAXIMO
BASE,O&G_LIMITED,DOMAINADM,READONLY,UTIL,MAXIMO
BASE,O&G_LIMITED,EMAILSTNER,READONLY,UTIL,MAXIMO
BASE,O&G_LIMITED,ESCALATION,READONLY,UTIL,MAXIMO
BASE,O&G_LIMITED,EXCHANGE,READONLY,FINANCIAL,MAXIMO
BASE,O&G_LIMITED,FACONFIG,FULLACCESS,-,MAXIMO
BASE,O&G_LIMITED,FORGOTPSWD,FULLACCESS,-,MAXIMO
BASE,O&G_LIMITED,INBXCONFIG,FULLACCESS,-,MAXIMO
BASE,O&G_LIMITED,INVISSUE,READSAVE,INVENTOR,MAXIMO
BASE,O&G_LIMITED,KPIGCONFIG,FULLACCESS,-,MAXIMO
BASE,O&G_LIMITED,KPILCONFIG,FULLACCESS,-,MAXIMO
BASE,O&G_LIMITED,KPI,READONLY,SETUP,MAXIMO
BASE,O&G_LIMITED,KPITPL,READONLY,SETUP,MAXIMO
BASE,O&G_LIMITED,KPIVIEWER,FULLACCESS,ANALYTICS,MAXIMO
BASE,O&G_LIMITED,SCCONFIG,FULLACCESS,-,MAXIMO
BASE,O&G_LIMITED,LOGGING,READONLY,UTIL,MAXIMO
BASE,O&G_LIMITED,INTOBJECT,READONLY,INT,MAXIMO
BASE,O&G_LIMITED,MULTISITE,READONLY,SETUP,MAXIMO
BASE,O&G_LIMITED,PERSON,READSAVE,SETUP,MAXIMO
BASE,O&G_LIMITED,PERSONGR,READONLY,SETUP,MAXIMO
BASE,O&G_LIMITED,ACTIONSCFG,FULLACCESS,-,MAXIMO
BASE,O&G_LIMITED,RLADMIN,READONLY,SETUP,MAXIMO
BASE,O&G_LIMITED,REPORT,READONLY,SETUP,MAXIMO
BASE,O&G_LIMITED,REPLISTCFG,FULLACCESS,-,MAXIMO
BASE,O&G_LIMITED,RSCONFIG,FULLACCESS,-,MAXIMO
BASE,O&G_LIMITED,ROLE,READONLY,UTIL,MAXIMO
BASE,O&G_LIMITED,SECURGROUP,READONLY,SECURITY,MAXIMO
BASE,O&G_LIMITED,SR,READSAVE,SD,MAXIMO
BASE,O&G_LIMITED,SETS,READONLY,SETUP,MAXIMO
BASE,O&G_LIMITED,STARTCNTR,FULLACCESS,-,MAXIMO
BASE,O&G_LIMITED,PROPMAINT,READONLY,UTIL,MAXIMO
BASE,O&G_LIMITED,SELFREG,FULLACCESS,-,MAXIMO
BASE,O&G_LIMITED,USER,READSAVE,SECURITY,MAXIMO
BASE,O&G_LIMITED,WORKVIEW,FULLACCESS,SETUP,MAXIMO
BASE,O&G_LIMITED,WFADMIN,READONLY,UTIL,MAXIMO
BASE,O&G_LIMITED,WFDESIGN,READONLY,UTIL,MAXIMO
BASE,O&G_LIMITED,SRVAD,READONLY,SETUP,MAXIMO
BASE,O&G_LIMITED,MPMAN,READONLY,SETUP,MAXIMO
BASE,O&G_LIMITED,TECHTABLET,FULLACCESS,WO,MAXIMO
BASE,O&G_LIMITED,TECHPHONE,FULLACCESS,WO,MAXIMO
BASE,O&G_LIMITED,TECHLITE,FULLACCESS,WO,MAXIMO
BASE,O&G_LIMITED,SCHSUPER,READONLY,WO,MAXIMO
BASE,O&G_LIMITED,OSLCPROV,READONLY,INT,MAXIMO
BASE,O&G_LIMITED,OSLCRES,READONLY,INT,MAXIMO
BASE,O&G_AUTHORIZED,DEPLGROUPS,FULLACCESS,UTIL,MAXIMO
BASE,OCY_EXPRESSCUR,ACTIVITY,FULLACCESS,WO,MAXIMO
BASE,OCY_EXPRESSCUR,ASSET,READSAVE,ASSET,MAXIMO
BASE,OCY_EXPRESSCUR,PLUSCTMPLT,READSAVE,ASSET,MAXIMO
BASE,OCY_EXPRESSCUR,WORKMAN,READONLY,WO,MAXIMO
BASE,OCY_EXPRESSCUR,AUTOSCRIPT,READONLY,UTIL,MAXIMO
BASE,OCY_EXPRESSCUR,COLLECTION,READONLY,CI,MAXIMO
