ENVIRONMENT,USERID,STATUS,CHANGEDATE,MEMO,CHANGEBY
BASE,ALEXANDREBARBOSA,INACTIVE,2016-11-30-17.41.18.000000,Desativando usuarios que não logaram em 2016. Atualização do sistema.,MAXADOOG
BASE,ALEXANDREBONAVITA,ACTIVE,2019-10-21-13.58.02.000000,,THIAGOFROES
BASE,ALEXANDREBONAVITA,BLOCKED,2019-10-29-14.10.22.000000,,MAXADMIN
BASE,ALEXANDREBONAVITA,ACTIVE,2019-10-29-14.19.37.000000,,MAXADMIN
BASE,ALEXANDREBONAVITA,INACTIVE,2021-02-26-11.58.51.000000,Usuarios sem acessar o sistema ha mais de tres meses,MAXADOOG
BASE,ALEXANDREBONAVITA,ACTIVE,2021-07-16-15.53.59.000000,A pedido do usuario,MAXADOOG
BASE,ALEXANDREBONAVITA,INACTIVE,2021-09-05-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXANDREBONAVITA,ACTIVE,2022-03-03-09.10.11.000000,0230571 — Reestabelecer acesso Sistema MAXIMO,ITEAM
BASE,ALEXANDREBONAVITA,INACTIVE,2022-03-04-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXANDREBONAVITA,ACTIVE,2022-06-07-13.02.52.000000,Ticket#0242328 — ACESSO SISTEMA MAXIMO BASE,ITEAM
BASE,ALEXANDREBONAVITA,BLOCKED,2024-10-01-06.40.48.000000,,MAXADMIN
BASE,ALEXANDREBONAVITA,ACTIVE,2024-10-01-06.43.31.000000,,MAXADMIN
BASE,ALEXANDREBONAVITA,INACTIVE,2025-10-02-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXANDREBONAVITA,ACTIVE,2026-01-05-16.32.31.848000,Ticket#2026010529001065,HELPDESK
BASE,ALEXANDREBONAVITA,INACTIVE,2026-03-25-09.00.01.066000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXANDRECURY,ACTIVE,2022-04-14-15.08.08.000000,,ITEAM
BASE,ALEXANDRECURY,BLOCKED,2022-06-03-16.24.54.000000,,MAXADMIN
BASE,ALEXANDRECURY,ACTIVE,2022-06-03-16.28.35.000000,,MAXADMIN
BASE,ALEXANDRECURY,BLOCKED,2022-12-13-10.59.28.000000,,MAXADMIN
BASE,ALEXANDRECURY,ACTIVE,2022-12-13-11.08.38.000000,,MAXADMIN
BASE,ALEXANDRECURY,INACTIVE,2026-03-25-09.00.01.096000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXANDRECURY,BLOCKED,2026-04-09-08.26.17.449000,,MAXADMIN
BASE,ALEXANDRECURY,ACTIVE,2026-04-09-08.26.43.392000,,MAXADMIN
BASE,ALEXANDREFALCAO,ACTIVE,2025-12-04-10.18.34.000000,,ITEAM
BASE,ALEXANDREFALCAO,INACTIVE,2026-03-25-09.00.01.117000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXANDRELEITE,ACTIVE,2018-04-26-17.32.14.000000,,MAXADOOG
BASE,ALEXANDRELEITE,INACTIVE,2018-05-04-16.24.54.000000,Integrante desligado em 04/05/2018,MAXADOOG
BASE,ALEXANDREMELLO,ACTIVE,2026-02-03-15.07.44.963000,,ITEAM
BASE,ALEXANDREMELLO,INACTIVE,2026-03-25-09.00.01.134000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXANDREPECANHA,ACTIVE,2021-04-06-18.11.02.000000,,MAXADOOG
BASE,ALEXANDREPECANHA,INACTIVE,2021-07-10-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXANDREPECANHA,ACTIVE,2021-08-20-15.20.32.000000,a pedido do Douglas,MAXADOOG
