ENVIRONMENT,GROUPNAME,SITEID
N09,OOG_USERS_HTQ,PLSVCA
N09,OOG_USERS_HTQ,PLSVEM
N09,PLSV_CA,PLSV CA
N09,FetchAll:,44 rows fetched.
N09,>,
ODN1,Inv_ready,HTQ
ODN1,Inv_ready,N06
ODN1,Inv_ready,N08
ODN1,Inv_ready,N09
ODN1,Inv_ready,ODN1
ODN1,Inv_ready,ODN2
ODN1,Inv_ready,OP-BASE
ODN1,MAXEVERYONE,HTQ
ODN1,MAXEVERYONE,N06
ODN1,MAXEVERYONE,N08
ODN1,MAXEVERYONE,N09
ODN1,MAXEVERYONE,ODN1
ODN1,MAXEVERYONE,ODN2
ODN1,OOG_ALLSITES,N06
ODN1,OOG_ALLSITES,N08
ODN1,OOG_ALLSITES,N09
ODN1,OOG_ALLSITES,ODN1
ODN1,OOG_ALLSITES,ODN2
ODN1,OOG_ALLSITES,ODN3
ODN1,OOG_ALLSITES,ODN4
ODN1,OOG_ALLSITES,OP-BASE
ODN1,OOG_ALLSITES,PLSVCA
ODN1,OOG_ALLSITES,PLSVEM
ODN1,OOG_ALL_DRILLING,N06
ODN1,OOG_ALL_DRILLING,N08
ODN1,OOG_ALL_DRILLING,N09
ODN1,OOG_ALL_DRILLING,ODN1
ODN1,OOG_ALL_DRILLING,ODN2
ODN1,OOG_ALL_DRILLING,OP-BASE
ODN1,OOG_ALL_PERF,N06
ODN1,OOG_ALL_PERF,N08
ODN1,OOG_ALL_PERF,N09
ODN1,OOG_ALL_PERF,ODN1
ODN1,OOG_ALL_PERF,ODN2
ODN1,OOG_ALL_PERF,ODN3
ODN1,OOG_ALL_PERF,ODN4
ODN1,OOG_ALL_PERF,OP-BASE
ODN1,OOG_ALL_PLSV,OP-BASE
ODN1,OOG_ALL_PLSV,PLSVCA
ODN1,OOG_ALL_PLSV,PLSVEM
ODN1,OOG_USERS_HTQ,OP-BASE
ODN1,OOG_USERS_HTQ,PLSVCA
ODN1,OOG_USERS_HTQ,PLSVEM
ODN1,PLSV_CA,PLSV CA
ODN1,FetchAll:,44 rows fetched.
ODN1,>,
ODN2,Inv_ready,HTQ
ODN2,Inv_ready,N06
ODN2,Inv_ready,N08
ODN2,Inv_ready,N09
ODN2,Inv_ready,ODN1
ODN2,Inv_ready,ODN2
ODN2,Inv_ready,OP-BASE
ODN2,MAXEVERYONE,HTQ
ODN2,MAXEVERYONE,N06
ODN2,MAXEVERYONE,N08
ODN2,MAXEVERYONE,N09
ODN2,MAXEVERYONE,ODN1
ODN2,MAXEVERYONE,ODN2
ODN2,OOG_ALLSITES,N06
ODN2,OOG_ALLSITES,N08
ODN2,OOG_ALLSITES,N09
ODN2,OOG_ALLSITES,ODN1
ODN2,OOG_ALLSITES,ODN2
ODN2,OOG_ALLSITES,ODN3
ODN2,OOG_ALLSITES,ODN4
ODN2,OOG_ALLSITES,OP-BASE
ODN2,OOG_ALLSITES,PLSVCA
ODN2,OOG_ALLSITES,PLSVEM
