ENVIRONMENT,PERSONGROUP,DESCRIPTION,ISCREWWORKGROUP,OOG_DEPARTMENT,OOG_USEINMOC,OOG_ISTOPSIDE
HTQ,JURON,Jurídico / Legal Onshore,0,0,1,-
HTQ,SCPON,Subsea e Construção de Poços / Subsea and Construction of Wells,0,0,1,-
HTQ,SSTON,Sustentabilidade / Sustainabitity Onshore,0,0,1,-
HTQ,ETCOFF,Eletroeletrônica / Electroelectronical,0,0,1,1
HTQ,ACOON,Administração Contratual / Contractual Administration Onshore,0,0,1,-
HTQ,COMON,Comunicação / Comunication Onshore,0,0,1,-
HTQ,NAUON,Gestão Marítima / Maritime Management,0,0,1,-
HTQ,PRJON,Projetos (Engenharia) / Projects (Engineering),0,0,1,-
HTQ,SBSOFF,Subsea / Subsea,0,0,1,1
HTQ,SUPON,Suprimentos e Logística de Materiais / Supply and Materials Logistics Onshore,0,0,1,-
HTQ,FINON,Finanças / Finance Onshore,0,0,1,-
HTQ,PEOON,Pessoas & Organização / People & Organization Onshore,0,0,1,-
HTQ,SEVON,Serviços / Services Onshore,0,0,1,-
HTQ,MCHOFF,Mecânica / Mechanical,0,0,1,1
HTQ,SSTOFF,Sustentabilidade / Sustainabitity Offshore,0,0,1,-
HTQ,P&O,P&O,0,0,0,-
HTQ,OOG_SUDI,Department for the Superintendent Director,0,0,0,-
HTQ,OOG_RIGM,Rig Managers,0,0,0,-
HTQ,OOG_COND,Contract Director,0,0,0,-
HTQ,OOG_OIM,Department for OIM/Captain,0,0,0,-
HTQ,MOC_AAPR,Análise de risco e Aprovação da MOC,0,0,0,-
HTQ,SPIE,Serviço Próprio de Inspeção de Equipamentos,0,1,0,-
HTQ,OOG_PD,Person Group Performance Director,0,0,0,-
HTQ,OOG_AM,Asset Manager,0,0,0,-
HTQ,SAU,Saúde / Health,0,0,1,-
HTQ,SPI,SPIE – Serviço Próprio e Inspeção de Equipamentos / Own Service and Equipment Inspection,0,0,1,-
HTQ,OOG_QA,Quality Assurance,0,0,0,-
HTQ,OOG_SUT,Sustainability,0,0,0,-
HTQ,OOG_TI,Information Technology,0,0,0,-
HTQ,RSTC,Aprovadores de Risk Assessment,0,0,0,-
HTQ,OOG_QAEG,Aprovadores final de MOC PEO (ajustado para MOCPEO com P&O),0,0,0,-
HTQ,ENGON,Engenharia / Engineering,0,0,1,-
HTQ,TECON,Tecnologia & Inovação / Technology & Innovation,0,0,1,-
HTQ,CSDON,Centro de Suporte a Decisão e Controle de Poço / Decision Support Center and Well Control,0,0,1,-
HTQ,FSPON,Fornecedor / Supplier OnShore,0,0,1,-
HTQ,APREDIAL,Adm Predial - Base UNP Only,0,1,0,-
HTQ,OOG_FMEC,Grupo FMECA,0,0,0,-
HTQ,MOVCAR,Movimentação de cargas - Base UNP Only,0,1,0,-
