ENVIRONMENT,USERID,PERSONID,STATUS,TYPE,DEFSITE,LOGINID,MAXUSERID
HTQ,MATHEUSOLIVEIRA,MATHEUSOLIVEIRA,INACTIVE,TYPE 1,HTQ,matheusoliveira,1926
HTQ,JONATHASMELO,JONATHASMELO,INACTIVE,TYPE 10,HTQ,jonathasmelo,1928
HTQ,FRANCISCOCARVALHAL,FRANCISCOCARVALHAL,INACTIVE,TYPE 1,HTQ,franciscocarvalhal,1677
HTQ,RICARDOVIEIRA,RICARDOVIEIRA,INACTIVE,TYPE 1,HTQ,ricardovieira,1704
HTQ,VINICIUSCARRARO,VINICIUSCARRARO,INACTIVE,TYPE 10,HTQ,viniciuscarraro,1954
HTQ,GIOVANEGONCALVES,GIOVANEGONCALVES,INACTIVE,TYPE 10,HTQ,giovanegoncalves,1733
HTQ,USUARIOHTQTESTEPTW,USUARIOHTQTESTEPTW,NEWREG,TYPE 10,HTQ,usuariohtqtesteptw,1975
HTQ,EWERTONSANTOS,EWERTONSANTOS,INACTIVE,TYPE 1,HTQ,ewertonsantos,1757
HTQ,DIEGOAVILA,DIEGOAVILA,INACTIVE,TYPE 10,HTQ,diegoavila,1983
HTQ,MARCIOMARTINS,MARCIOMARTINS,INACTIVE,TYPE 10,HTQ,marciomartins,2027
HTQ,LEONARDOLIMA,LEONARDOLIMA,INACTIVE,TYPE 10,HTQ,leonardolima,2028
HTQ,MARCOSMATHEUS,MARCOSMATHEUS,INACTIVE,TYPE 10,HTQ,marcosmatheus,2057
HTQ,GUILHERMEAZEVEDO,GUILHERMEAZEVEDO,INACTIVE,TYPE 10,HTQ,guilhermeazevedo,2081
HTQ,GABRIELALMEIDA,GABRIELALMEIDA,INACTIVE,TYPE 1,HTQ,gabrielalmeida,1804
HTQ,RODRIGOGUIMARAES,RODRIGOGUIMARAES,INACTIVE,TYPE 1,HTQ,rodrigoguimaraes,1805
HTQ,EDUARDOALVES,EDUARDOALVES,INACTIVE,TYPE 10,HTQ,eduardoalves,1811
HTQ,JOAOPAULOSILVA,JOAOPAULOSILVA,INACTIVE,TYPE 10,HTQ,joaopaulosilva,2093
HTQ,ARIANESOUZA,ARIANESOUZA,ACTIVE,TYPE 1,HTQ,arianesouza,1839
HTQ,LEANDROPERES,LEANDROPERES,ACTIVE,TYPE 10,HTQ,leandroperes,2111
HTQ,FERNANDOBRAGA,FERNANDOBRAGA,INACTIVE,TYPE 10,HTQ,fernandobraga,1860
HTQ,TAMARAPEDRO,TAMARAPEDRO,INACTIVE,TYPE 10,HTQ,tamarapedro,1904
HTQ,ALESSANDROPAULA,ALESSANDROPAULA,INACTIVE,TYPE 10,HTQ,alessandropaula,2122
HTQ,JOAOBELEM,JOAOBELEM,INACTIVE,TYPE 10,HTQ,joaobelem,2129
HTQ,KAROLINEBARBOSA,KAROLINEBARBOSA,ACTIVE,TYPE 1,HTQ,karolinebarbosa,2139
HTQ,PABLOVINICIUS,PABLOVINICIUS,INACTIVE,TYPE 10,HTQ,pablovinicius,2141
HTQ,DIEGOPEREIRA,DIEGOPEREIRA,ACTIVE,TYPE 1,HTQ,diegopereira,2148
HTQ,PAULORUBENS,PAULORUBENS,INACTIVE,TYPE 1,HTQ,paulorubens,2150
HTQ,ERIVALDOJUNIOR,ERIVALDOJUNIOR,INACTIVE,TYPE 1,HTQ,erivaldojunior,1298
HTQ,VAGNERMIOTE,VAGNERMIOTE,INACTIVE,TYPE 1,HTQ,vagnermiote,1300
HTQ,GUSTAVOBAKKER,GUSTAVOBAKKER,ACTIVE,TYPE 1,HTQ,gustavobakker,1303
HTQ,WADSONSILVA,WADSONSILVA,ACTIVE,TYPE 1,HTQ,wadsonsilva,1314
HTQ,WHADSONNASCIMENTO,WHADSONNASCIMENTO,ACTIVE,TYPE 1,HTQ,whadsonnascimento,1316
HTQ,REURENASSIS,REURENASSIS,INACTIVE,TYPE 1,HTQ,reurenassis,1325
HTQ,GUSTAVOPATRICIO,GUSTAVOPATRICIO,INACTIVE,TYPE 1,HTQ,gustavopatricio,1326
HTQ,PAULOGOMES,PAULOGOMES,INACTIVE,TYPE 1,HTQ,paulogomes,1328
HTQ,RONALDORODRIGUES,RONALDORODRIGUES,ACTIVE,TYPE 1,HTQ,ronaldorodrigues,1330
